onset	duration	fg	artist	title	year
41.276	41.52	0	OST	instrumental	
82.796	59.24	1	OST	instrumental	
143.036	19.0	0	OST	instrumental	
196.116	20.4	0	OST	instrumental	
216.516	17.92	0	OST	instrumental	
238.676	21.56	1	OST	instrumental	
265.636	88.08	1	Duane Eddy	Rebel Rouser	1958
355.036	51.52	1	OST	instrumental	
413.007	33.32	0	Clarence 'Frogman' Henry	(I Don't Know Why) But I Do	1961
446.327	27.88	1	Clarence 'Frogman' Henry	(I Don't Know Why) But I Do	1961
511.767	51.4	0	The Rooftop Singers	Walk Right In	1963
616.047	20.8	0	Jimmy Gilmer and The Fireballs	Sugar Shack	1963
659.647	10.8	0	orchestra (on TV)	unknown	
670.447	23.6	1	orchestra	unknown	
694.047	19.2	1	orchestra (on TV)	unknown	
713.247	18.8	0	orchestra	unknown	
739.247	2.8	0	drumming	unknown	
748.447	26.72	1	OST	instrumental	
