onset	duration	text	kommentar	loc_besch	w_class	function	grammar
177.923	2.7	im			APPRART		
180.623	0.5	Fernseher		setting_new		NN	
181.123	0.4	auch			ADV		
181.523	0.3	über			APPR		
181.823	0.1	der			ART		
181.923	0.6	Freiheitsstatue		setting_new		NN	
182.523	1.0	explodieren			VVFIN		
183.523	0.5	Raketen			NN		
184.023	0.7	Jenny		fname	NE		
184.723	0.3	sitzt			VVFIN		
185.023	0.2	grübelnd			ADJD		
185.223	0.4	vor			APPR		
185.623	0.1	dem			ART		
185.723	0.3	Gerät		setting_new		NN	
186.023	-5527.8	Forrest hockt mit einer Cola auf der Fensterbank und beobachtet sie					
186.023	0.8	Forrest		mname	NE		
186.823	0.2	hockt			VVFIN		
187.023	0.2	mit			APPR		
187.223	0.1	einer			ART		
187.323	0.4	Cola		object	NN		
187.723	0.1	auf			APPR		
187.823	0.1	der			ART		
187.923	0.5	Fensterbank		roomgeo	NN		
188.423	0.7	und			KON		
189.123	0.4	beobachtet			VVFIN		
189.523	0.2	sie			PPER		
189.723	10.4	sie			PPER		
200.123	0.2	küsst			VVFIN		
200.323	0.1	ihn			PPER		
200.423	0.1	auf			APPR		
200.523	0.2	die			ART		
200.723	0.3	Schläfe		head	NN		
201.023	0.1	und			KON		
201.123	0.4	schaltet			VVFIN		
201.523	0.0	aus			PTKVZ		
201.523	1.7	Forrest#sieht	###		VVFIN		
203.223	0.2	ihr			PPER		
203.423	0.1	nach			PTKVZ		
203.523	1.0	entschlossen			ADJD		
204.523	0.3	stellt			VVFIN		
204.823	0.1	er			PPER		
204.923	0.1	seine			PPOSAT		
205.023	0.3	Cola		object	NN		
205.323	0.2	ab			PTKVZ		
205.523	1.5	Jenny		fname	NE		
207.023	0.3	steigt			VVFIN		
207.323	0.1	die			ART		
207.423	0.3	Treppe		roomgeo	NN		
207.723	0.2	hoch			PTKVZ		
207.923	0.6	unten			ADV		
208.523	0.2	kommt			VVFIN		
208.723	0.4	Forrest		mname	NE		
209.123	0.1	in			APPR		
209.223	0.1	den			ART		
209.323	0.2	Flur		roomgeo	NN		
209.523	2.5	Jenny		fname	NE		
212.023	0.2	dreht			VVFIN		
212.223	0.2	sich			PRF		
212.423	0.5	ernst			ADJD		
212.923	0.1	zu			APPR		
213.023	0.1	ihm			PPER		
213.123	0.2	um			PTKVZ		
214.723	33.6	Forrest#geht	###		VVFIN		
248.323	0.3	durch			APPR		
248.623	0.1	die			ART		
248.723	0.8	Fliegengittertür		roomgeo	NN		
249.523	0.2	nach			APPR		
249.723	0.3	draußen			ADV		
250.023	3.9	auf			APPR		
253.923	0.1	der			ART		
254.023	0.4	Veranda		roomgeo	NN		
254.423	0.4	stemmt			VVFIN		
254.823	0.1	er			PPER		
254.923	0.0	die			ART		
254.923	0.4	Hände		bodypart	NN		
255.323	0.1	in			APPR		
255.423	0.1	die			ART		
255.523	0.3	Hüften		body	NN		
255.823	0.1	und			KON		
255.923	0.4	bleibt			VVFIN		
256.323	0.5	abgewandt			ADJD		
256.823	0.3	stehen			VVINF		
257.123	1.2	Jenny		fname	NE		
258.323	0.3	geht			VVFIN		
258.623	0.2	nach			APPR		
258.823	0.3	oben			ADV		
259.123	1.7	das			ART		
260.823	0.4	dunkle			ADJA		
261.223	0.1	Haus			NN		
261.323	0.5	im			APPRART		
261.823	0.6	strömenden			ADJA		
262.423	0.4	Regen		setting_rec		NN	
262.823	5.2	Forrest		mname	NE		
268.023	0.3	liegt			VVFIN		
268.323	0.1	im			APPRART		
268.423	0.1	Bett		furniture	NN		
268.523	1.0	draußen			ADV		
269.523	0.5	geht#Jenny	###		NE		
270.023	0.2	im			APPRART		
270.223	0.2	Nachthemd		body	NN		
270.423	0.3	am			APPRART		
270.723	0.4	Fenster		roomgeo	NN		
271.123	0.1	vorbei			PTKVZ		
271.223	0.8	er			PPER		
272.023	0.3	öffnet			VVFIN		
272.323	0.0	die			ART		
272.323	0.1	Augen		face	NN		
275.523	0.5	Jenny		fname	NE		
276.023	0.4	bleibt			VVFIN		
276.423	0.1	an			APPR		
276.523	0.1	der			ART		
276.623	0.2	Tür		roomgeo	NN		
276.823	0.3	stehen			PTKVZ		
277.123	0.3	und			KON		
277.423	0.1	sieht			VVFIN		
277.523	0.2	ihn			PPER		
277.723	0.1	an			PTKVZ		
277.823	1.1	Forrest		mname	NE		
278.923	0.4	richtet			VVFIN		
279.323	0.2	sich			PRF		
279.523	0.2	etwas			PIS		
279.723	0.2	auf			PTKVZ		
279.923	1.1	sie			PPER		
281.023	0.3	schlüpft			VVFIN		
281.323	0.2	unter			APPR		
281.523	0.2	seine			PPOSAT		
281.723	0.3	Decke		object	NN		
282.023	3.2	und			KON		
285.223	0.2	legt			VVFIN		
285.423	0.1	sich			PRF		
285.523	0.2	auf			APPR		
285.723	0.2	ihn			PPER		
285.923	3.9	sie			PPER		
289.823	0.3	gibt			VVFIN		
290.123	0.1	ihm			PPER		
290.223	0.1	einen			ART		
290.323	0.2	Kuss			NN		
290.523	0.2	auf			APPR		
290.723	0.2	den			ART		
290.923	0.0	Mund		face	NN		
290.923	3.9	die			ART		
294.823	0.4	beiden			PIS		
295.223	0.3	küssen			VVFIN		
295.523	0.2	sich			PRF		
295.723	0.3	innig			ADJD		
296.023	1.2	zaghaft			ADJD		
297.223	0.1	hebt			VVFIN		
