onset	duration	rms	lrdiff
0.00	0.04	0.00000000	0.00000000
0.04	0.04	0.00091727	-0.00000001
0.08	0.04	0.00107356	-0.00000937
0.12	0.04	0.00079200	0.00001455
0.16	0.04	0.00081786	-0.00000352
0.20	0.04	0.00078436	-0.00000229
0.24	0.04	0.00078130	0.00000562
0.28	0.04	0.00084255	-0.00000808
0.32	0.04	0.00080317	0.00001270
0.36	0.04	0.00079615	0.00000393
0.40	0.04	0.00093426	0.00000069
0.44	0.04	0.00087156	0.00003357
0.48	0.04	0.00085832	-0.00000811
0.52	0.04	0.00091606	0.00001972
0.56	0.04	0.00100745	0.00000494
0.60	0.04	0.00129282	-0.00006275
0.64	0.04	0.00126868	-0.00003917
0.68	0.04	0.00139826	0.00000499
0.72	0.04	0.00127319	-0.00000736
0.76	0.04	0.00156473	0.00000686
0.80	0.04	0.00172272	-0.00002375
0.84	0.04	0.00174045	0.00006867
0.88	0.04	0.00179255	0.00001947
0.92	0.04	0.00185733	0.00000383
0.96	0.04	0.00195662	0.00002753
1.00	0.04	0.00180672	0.00002273
1.04	0.04	0.00248205	-0.00000302
1.08	0.04	0.00295734	0.00015199
1.12	0.04	0.00359644	0.00007285
1.16	0.04	0.23659717	0.00186016
1.20	0.04	0.17125901	-0.01223477
1.24	0.04	0.19026912	0.00036474
1.28	0.04	0.21239982	0.00024005
1.32	0.04	0.22287589	0.00028161
1.36	0.04	0.22931226	0.00030121
1.40	0.04	0.09067525	0.00012983
1.44	0.04	0.12194544	0.00020846
1.48	0.04	0.10536824	0.00004780
1.52	0.04	0.19785376	0.00022309
1.56	0.04	0.17993237	0.00024411
1.60	0.04	0.04269180	0.00007720
1.64	0.04	0.09617914	0.00009391
1.68	0.04	0.30583371	0.00047072
1.72	0.04	0.40047701	0.00067685
1.76	0.04	0.15050969	0.00034442
1.80	0.04	0.07508367	0.00013577
1.84	0.04	0.14930714	0.00044005
1.88	0.04	0.15829492	0.00048030
1.92	0.04	0.15653050	0.00043610
1.96	0.04	0.16070514	0.00040961
2.00	0.04	0.08071918	0.00019926
2.04	0.04	0.07296862	0.00012739
2.08	0.04	0.07758634	0.00018817
2.12	0.04	0.09141242	0.00022244
2.16	0.04	0.06129985	0.00008139
2.20	0.04	0.03579759	0.00001374
2.24	0.04	0.10279623	0.00011082
2.28	0.04	0.04461073	0.00006151
2.32	0.04	0.11892690	0.00025515
2.36	0.04	0.09187984	0.00024945
2.40	0.04	0.05722832	0.00009353
2.44	0.04	0.06104980	0.00015367
2.48	0.04	0.03289726	0.00007882
2.52	0.04	0.02164974	0.00005521
2.56	0.04	0.00970260	0.00000747
2.60	0.04	0.00178982	0.00001307
2.64	0.04	0.00155432	0.00002629
2.68	0.04	0.00145981	0.00003033
2.72	0.04	0.00144675	0.00002133
2.76	0.04	0.00143612	0.00002455
2.80	0.04	0.00136892	0.00003719
2.84	0.04	0.00140868	0.00001925
2.88	0.04	0.00138156	0.00001307
2.92	0.04	0.00142178	0.00003060
2.96	0.04	0.00139459	0.00002340
3.00	0.04	0.00149642	0.00002944
3.04	0.04	0.00138299	0.00002343
3.08	0.04	0.00139190	0.00005373
3.12	0.04	0.13823480	0.00039534
3.16	0.04	0.21802796	0.00055416
3.20	0.04	0.22652478	0.00061800
3.24	0.04	0.04059123	-0.00004666
3.28	0.04	0.03839105	-0.00007553
3.32	0.04	0.26982014	0.00086921
3.36	0.04	0.35089084	0.00093378
3.40	0.04	0.38904728	0.00096134
3.44	0.04	0.28758100	0.00059010
3.48	0.04	0.07694650	0.00016808
3.52	0.04	0.14847755	0.00031848
3.56	0.04	0.08796618	0.00017249
3.60	0.04	0.13175797	0.00032294
