onset	duration	text	kommentar	loc_besch	w_class	function	grammar
0.087	1.3	eine			ART		
1.387	0.7	Computeranimation		setting_new	NN		
2.087	1.1	auf			APPR		
3.187	0.3	einen			ART		
3.487	0.2	schroffen			ADJA		
3.687	0.5	Berg		geo	NN		
4.187	0.2	mit			APPR		
4.387	0.6	schneebedeckter			ADJA		
4.987	0.4	Flanke		geo	NN		
5.387	0.5	fliegt			VVFIN		
5.887	0.2	eine			ART		
6.087	0.2	Reihe			NN		
6.287	0.4	Sterne		object	NN		
6.687	0.2	zu			PTKVZ		
6.887	0.6	sie			PPER		
7.487	0.2	bilden			VVFIN		
7.687	0.2	einen			ART		
7.887	0.2	Kranz		object	NN		
8.087	0.3	um			APPR		
8.387	0.0	den			ART		
8.387	0.3	Gipfel		geo	NN		
8.687	1.3	Paramount			NE		
15.687	0.6	vor			APPR		
16.287	0.6	bewölktem			ADJA		
16.887	0.0	Himmel		setting_new	NN		
16.887	0.8	schwebt			VVFIN		
17.687	0.2	eine			ART		
17.887	0.6	grau-weiße			ADJA		
18.487	0.4	Feder		object	NN		
18.887	0.2	durch			APPR		
19.087	0.1	die			ART		
19.187	0.2	Luft			NN		
21.087	1.9	in			APPR		
22.987	0.2	einer			ART		
23.187	0.2	Stadt		setting_new	NN		
23.387	0.7	segelt			VVFIN		
24.087	0.1	sie			PPER		
24.187	0.2	über			APPR		
24.387	0.1	die			ART		
24.487	0.6	Baumkronen		geo	NN		
25.087	0.2	eines			ART		
25.287	0.4	Parks		geo	NN		
31.587	0.4	ein			ART		
31.987	0.4	Robert			###		
32.387	0.5	Zemeckis			NE		
32.887	0.3	Film			NN		
33.987	0.5	Tom			###		
34.487	0.3	Hanks			NE		
34.787	0.9	als			APPR		
35.687	0.6	Forrest			###		
36.287	0.4	Gump			NE		
40.487	0.4	die			ART		
40.887	0.3	Feder		object	NN		
41.187	0.2	fliegt			VVFIN		
41.387	0.2	ein			ART		
41.587	0.2	paar			PIAT		
41.787	0.3	Meter			NN		
42.087	0.3	über			APPR		
42.387	0.1	den			ART		
42.487	0.2	Wipfeln		geo	NN		
42.687	1.4	Robin			###		
44.087	0.1	Wright			NE		
44.187	0.3	als			APPR		
44.487	0.4	Jenny			NE		
44.887	0.9	Gary#Sinise	###		NE		
45.787	0.4	als			APPR		
46.187	0.2	Lieutenant			NN		
46.387	0.4	Dan			NE		
46.787	0.8	Kelly			###		
47.587	0.6	Williamson			NE		
48.187	0.3	als			APPR		
48.487	0.3	Bubba			NE		
48.787	0.6	und			KON		
49.387	0.3	Sally			###		
49.687	0.3	Field			NE		
49.987	0.1	als			APPR		
50.087	0.4	Misses			###		
50.487	0.2	Gump			NE		
50.687	1.0	Musik			NN		
51.687	0.4	Alan			###		
52.087	0.3	Silvestri			NE		
52.387	1.2	Buch			NN		
53.587	0.4	Eric			###		
53.987	0.2	Ross			NE		
54.187	0.9	nach			APPR		
55.087	0.2	dem			ART		
55.287	0.3	gleichnamigen			ADJA		
55.587	0.4	Roman			NN		
55.987	0.4	von			APPR		
56.387	0.4	Winston			###		
56.787	0.3	Groom			NE		
57.087	1.7	Regie			NN		
58.787	0.4	Robert			###		
59.187	0.5	Zemeckis			NE		
68.587	0.3	in			APPR		
68.887	0.1	der			ART		
68.987	0.2	Nähe			NN		
69.187	0.3	eines			ART		
69.487	0.6	Kirchturms		geo	NN		
70.087	0.4	sinkt			VVFIN		
70.487	0.1	die			ART		
70.587	0.4	Feder		object	NN		
70.987	0.2	vor			APPR		
71.187	0.1	einem			ART		
71.287	0.2	weißen			ADJA		
71.487	0.6	Gebäude		geo	NN		
72.087	0.4	langsam			ADJD		
72.487	0.4	tiefer			ADJD		
76.387	1.2	die			ART		
77.587	0.5	Hörfilmfassung			NN		
78.087	0.6	wurde			VAFIN		
78.687	0.1	produziert			VVPP		
78.787	0.6	vom			APPRART		
79.387	0.4	Bayerischen			ADJA		
79.787	0.4	Rundfunk			NN		
80.187	0.2	im			APPRART		
80.387	0.4	Auftrag			NN		
80.787	0.2	des			ART		
80.987	0.4	Schweizer			ADJA		
81.387	0.2	Fernsehens			NN		
81.587	1.0	Text			NN		
82.587	0.4	Kopp			###		
82.987	0.6	Michalski			NE		
83.587	0.3	und			KON		
83.887	0.4	Weckmann			NE		
84.287	0.7	Hörfilm			NN		
84.987	0.1	e.v.			APPR		
85.087	1.3	Redaktion			NN		
86.387	0.4	Elmar			###		
86.787	0.2	Dosch			NE		
86.987	0.3	und			KON		
87.287	0.3	Bernd			###		
87.587	0.3	Benecke			NE		
87.887	1.1	Tonmischung			NN		
88.987	0.5	Herbert			###		
89.487	0.2	Glaser			NE		
89.687	0.9	Sprecher			NN		
90.587	0.3	Thomas			###		
