onset	duration	fg	artist	title	year
20.567	141.48	1	OST	instrumental	
319.367	26.48	1	OST	instrumental	
347.647	26.64	0	Hank Williams	Lovesick Blues	1949
385.767	46.12	1	OST	instrumental	
581.047	35.56	1	OST	instrumental	
623.047	4.0	0	Elvis Presley (performed by actor)	Hound Dog	1956
627.047	5.2	1	Elvis Presley (performed by actor)	Hound Dog	1956
652.767	24.52	1	Elvis Presley (performed by actor)	Hound Dog	1956
677.287	25.72	1	Elvis Presley (on TV)	Hound Dog	1956
758.167	134.8	1	OST	instrumental	
