onset	duration	rms	lrdiff
0.00	0.04	0.00000000	0.00000000
0.04	0.04	0.00091728	0.00000000
0.08	0.04	0.00406731	0.00014903
0.12	0.04	0.01450343	0.00036554
0.16	0.04	0.08308883	0.00075805
0.20	0.04	0.15303347	-0.00068529
0.24	0.04	0.18400421	0.00252915
0.28	0.04	0.03685883	-0.00129217
0.32	0.04	0.08367190	0.00020699
0.36	0.04	0.26785407	0.00241732
0.40	0.04	0.09165015	0.00022199
0.44	0.04	0.34422670	0.00406003
0.48	0.04	0.29009310	0.00032412
0.52	0.04	0.27169910	0.00022036
0.56	0.04	0.13154274	-0.00000039
0.60	0.04	0.05265309	0.00127659
0.64	0.04	0.05482629	-0.00029212
0.68	0.04	0.17466925	0.00038131
0.72	0.04	0.34061400	0.00311176
0.76	0.04	0.04006691	-0.00203823
0.80	0.04	0.06416625	-0.00204229
0.84	0.04	0.08604028	-0.00141523
0.88	0.04	0.09888332	-0.00196178
0.92	0.04	0.20043448	-0.00013128
0.96	0.04	0.34135577	0.02568426
1.00	0.04	0.28279952	0.00206138
1.04	0.04	0.25795971	0.00208333
1.08	0.04	0.32061925	-0.00032919
1.12	0.04	0.21865540	0.00021479
1.16	0.04	0.16504422	-0.00140162
1.20	0.04	0.11911656	-0.00054220
1.24	0.04	0.02706432	0.00352828
1.28	0.04	0.07187181	-0.00135834
1.32	0.04	0.08179881	0.00074777
1.36	0.04	0.17076239	0.00029899
1.40	0.04	0.34221908	0.00030132
1.44	0.04	0.26140156	0.00025196
1.48	0.04	0.17783944	-0.00004014
1.52	0.04	0.07586832	0.00099222
1.56	0.04	0.12755163	0.00005112
1.60	0.04	0.07590829	0.00126650
1.64	0.04	0.05893817	0.00117520
1.68	0.04	0.06494209	0.00093100
1.72	0.04	0.04875741	-0.00034596
1.76	0.04	0.27092764	0.00150866
1.80	0.04	0.15485558	0.00257845
1.84	0.04	0.06196105	0.00033300
1.88	0.04	0.16906859	-0.00047168
1.92	0.04	0.07670428	0.00049185
1.96	0.04	0.04886202	-0.00123600
2.00	0.04	0.04028775	-0.00427438
2.04	0.04	0.09329135	0.00066104
2.08	0.04	0.07664059	0.00215438
2.12	0.04	0.04194254	-0.00210215
2.16	0.04	0.04090784	-0.00198207
2.20	0.04	0.02674800	-0.00316638
2.24	0.04	0.02380561	-0.00473803
2.28	0.04	0.02261388	-0.00791994
2.32	0.04	0.02688896	-0.00975998
2.36	0.04	0.03056331	-0.00661168
2.40	0.04	0.03133426	0.00010599
2.44	0.04	0.02965111	0.00153320
2.48	0.04	0.02714986	0.00077060
2.52	0.04	0.02369336	0.00406618
2.56	0.04	0.03461820	-0.00312133
2.60	0.04	0.09630868	-0.00069129
2.64	0.04	0.11165923	-0.00377795
2.68	0.04	0.08505532	-0.00618868
2.72	0.04	0.06471487	-0.00408205
2.76	0.04	0.05424189	-0.00014353
2.80	0.04	0.05407482	-0.00208122
2.84	0.04	0.09387679	-0.00063497
2.88	0.04	0.12582210	0.00338870
2.92	0.04	0.12208024	0.00487559
2.96	0.04	0.07654937	-0.00000863
3.00	0.04	0.06603321	-0.00217153
3.04	0.04	0.14437559	0.00000907
3.08	0.04	0.10067185	0.00002456
3.12	0.04	0.04754531	0.00122099
3.16	0.04	0.03828608	-0.00315749
3.20	0.04	0.04073657	-0.00488812
3.24	0.04	0.04067878	-0.00231277
3.28	0.04	0.03423826	-0.00274088
3.32	0.04	0.04332751	-0.00236326
3.36	0.04	0.03997258	-0.00343906
3.40	0.04	0.02589969	-0.00447423
3.44	0.04	0.03014100	-0.00050525
3.48	0.04	0.03829509	0.00051149
3.52	0.04	0.03868672	0.00164339
3.56	0.04	0.02974957	0.00169291
3.60	0.04	0.02902241	0.00032790
3.64	0.04	0.02927670	0.00449248
3.68	0.04	0.02743927	0.00460658
3.72	0.04	0.03226610	0.00568690
3.76	0.04	0.03219337	0.00448871
3.80	0.04	0.02646154	0.00412205
3.84	0.04	0.02243642	0.00173192
3.88	0.04	0.01949975	-0.00117551
3.92	0.04	0.01896105	0.00178135
3.96	0.04	0.01863898	0.00166303
4.00	0.04	0.02064903	-0.00140935
4.04	0.04	0.02176614	-0.00533494
4.08	0.04	0.02352675	-0.00609415
4.12	0.04	0.02459019	-0.00354198
4.16	0.04	0.06740737	-0.00070137
4.20	0.04	0.32467018	0.00072839
4.24	0.04	0.08747048	0.00402939
4.28	0.04	0.07934366	-0.00034778
4.32	0.04	0.12036913	-0.00071346
4.36	0.04	0.23224564	-0.00344893
4.40	0.04	0.26191201	0.00232605
4.44	0.04	0.04176719	0.00130253
4.48	0.04	0.15626304	-0.00186206
4.52	0.04	0.18458838	0.00383867
4.56	0.04	0.17419433	0.00009571
4.60	0.04	0.08210790	-0.00009457
4.64	0.04	0.19447882	0.00001017
4.68	0.04	0.43217988	0.00212849
4.72	0.04	0.15521694	-0.00179355
4.76	0.04	0.11222702	-0.00021030
4.80	0.04	0.03889306	-0.00037892
4.84	0.04	0.04559184	-0.00076664
4.88	0.04	0.36580913	0.00201386
4.92	0.04	0.24394185	0.00028075
4.96	0.04	0.08738223	0.00081155
5.00	0.04	0.20888943	0.00180908
5.04	0.04	0.37394098	0.00155617
5.08	0.04	0.07311268	0.00180115
5.12	0.04	0.03005078	0.00346146
5.16	0.04	0.27213899	0.00006220
5.20	0.04	0.40947277	0.00149193
5.24	0.04	0.41439831	0.00162890
5.28	0.04	0.38758066	-0.00067614
5.32	0.04	0.17507765	-0.00235557
5.36	0.04	0.41355590	-0.00142744
5.40	0.04	0.38614561	0.00109930
5.44	0.04	0.10765094	0.00097063
5.48	0.04	0.28023642	0.00040253
5.52	0.04	0.43735169	0.00365009
5.56	0.04	0.43960447	-0.00185467
5.60	0.04	0.29076285	0.00291533
5.64	0.04	0.05069819	0.00079175
5.68	0.04	0.02824033	0.00183566
5.72	0.04	0.29009232	0.00002557
5.76	0.04	0.30560892	0.00198996
5.80	0.04	0.26550971	0.00317370
5.84	0.04	0.28853872	0.00179906
5.88	0.04	0.15157634	-0.00073974
5.92	0.04	0.11468400	0.00149223
5.96	0.04	0.06994760	-0.00023512
6.00	0.04	0.05901389	-0.00020367
6.04	0.04	0.09848159	0.00009228
6.08	0.04	0.11619458	0.00152939
6.12	0.04	0.11108679	0.00088694
6.16	0.04	0.02792969	0.00061447
6.20	0.04	0.06178348	0.00042347
6.24	0.04	0.02963607	0.00046176
6.28	0.04	0.08193531	0.00079676
6.32	0.04	0.04634382	0.00052733
6.36	0.04	0.02870926	0.00035702
6.40	0.04	0.03150578	-0.00012882
6.44	0.04	0.02732567	-0.00061264
6.48	0.04	0.01280213	-0.00116618
6.52	0.04	0.01109958	-0.00044221
6.56	0.04	0.01225476	0.00035283
6.60	0.04	0.01025915	0.00139312
6.64	0.04	0.01152793	0.00229667
6.68	0.04	0.01200569	0.00145122
6.72	0.04	0.01021453	-0.00004216
6.76	0.04	0.01114939	0.00130123
6.80	0.04	0.01264764	0.00074329
6.84	0.04	0.01225322	0.00084044
6.88	0.04	0.01322703	0.00137129
6.92	0.04	0.01230727	0.00104139
6.96	0.04	0.01319660	0.00137956
7.00	0.04	0.01303414	-0.00047123
7.04	0.04	0.01296284	0.00125191
7.08	0.04	0.01406078	0.00209430
7.12	0.04	0.01463567	0.00129791
7.16	0.04	0.01286518	0.00131646
7.20	0.04	0.01447207	0.00118878
7.24	0.04	0.01499018	0.00164187
7.28	0.04	0.01381461	0.00141411
7.32	0.04	0.01401252	0.00118393
7.36	0.04	0.01452143	0.00200244
7.40	0.04	0.01304262	0.00174139
7.44	0.04	0.01258195	0.00135457
7.48	0.04	0.01365154	0.00164825
7.52	0.04	0.01267327	0.00183538
7.56	0.04	0.01189187	0.00156359
7.60	0.04	0.01387251	0.00160295
7.64	0.04	0.01181390	0.00137116
7.68	0.04	0.04988997	0.00062759
7.72	0.04	0.32211455	0.00126989
7.76	0.04	0.25471793	0.00101956
7.80	0.04	0.20065625	0.00065521
7.84	0.04	0.18022187	0.00118845
7.88	0.04	0.16534380	0.00063803
7.92	0.04	0.21883971	0.00027628
7.96	0.04	0.30936497	0.00131915
8.00	0.04	0.17702869	0.00034616
8.04	0.04	0.25203532	0.00036946
8.08	0.04	0.36179244	0.00042738
8.12	0.04	0.31671510	0.00159886
8.16	0.04	0.07837051	0.00026821
8.20	0.04	0.10791316	0.00090451
8.24	0.04	0.24572855	0.00107173
8.28	0.04	0.34165575	0.00209242
8.32	0.04	0.21970898	0.00065455
8.36	0.04	0.02653927	0.00056631
8.40	0.04	0.01271848	0.00055114
8.44	0.04	0.10654022	0.00028344
8.48	0.04	0.06613924	0.00008668
8.52	0.04	0.07118188	0.00075608
8.56	0.04	0.10546669	0.00023823
8.60	0.04	0.25644188	0.00113904
8.64	0.04	0.20364837	0.00076962
8.68	0.04	0.02456532	0.00203398
8.72	0.04	0.12780166	0.00097740
8.76	0.04	0.24809829	0.00070231
8.80	0.04	0.12567017	0.00061379
8.84	0.04	0.12307555	0.00033730
8.88	0.04	0.25169994	0.00100626
8.92	0.04	0.28130927	0.00121075
8.96	0.04	0.02725927	0.00037125
9.00	0.04	0.06791251	0.00046183
9.04	0.04	0.16592207	0.00049352
9.08	0.04	0.06610478	0.00051612
9.12	0.04	0.06483774	0.00023313
9.16	0.04	0.05648072	0.00020870
9.20	0.04	0.10664320	0.00062465
9.24	0.04	0.20904739	0.00091116
9.28	0.04	0.17337114	0.00069853
9.32	0.04	0.09305693	0.00056388
9.36	0.04	0.12731707	0.00029418
9.40	0.04	0.14220857	0.00051332
9.44	0.04	0.08196745	0.00065886
9.48	0.04	0.04861979	0.00066164
9.52	0.04	0.06756826	0.00043186
9.56	0.04	0.13906149	0.00049418
9.60	0.04	0.17627735	0.00072639
9.64	0.04	0.18318977	0.00073395
9.68	0.04	0.03321762	0.00059742
9.72	0.04	0.19722255	0.00077569
9.76	0.04	0.29251786	0.00139819
9.80	0.04	0.11811644	0.00037368
9.84	0.04	0.07206969	0.00041517
9.88	0.04	0.01375327	0.00033709
9.92	0.04	0.02309629	-0.00000055
9.96	0.04	0.05438358	0.00022615
10.00	0.04	0.08854036	0.00059838
10.04	0.04	0.21528291	0.00087822
10.08	0.04	0.24545277	0.00133782
10.12	0.04	0.26710976	0.00157410
10.16	0.04	0.19443392	0.00104154
10.20	0.04	0.06834897	0.00020672
10.24	0.04	0.00792555	-0.00011943
10.28	0.04	0.00707878	0.00017752
10.32	0.04	0.11432133	0.00096879
10.36	0.04	0.30596186	0.00141113
10.40	0.04	0.11072512	0.00039786
10.44	0.04	0.14578675	0.00073877
10.48	0.04	0.08066706	0.00036369
10.52	0.04	0.32221941	0.00065175
10.56	0.04	0.30761355	0.00116309
10.60	0.04	0.08320712	0.00019087
10.64	0.04	0.10217049	0.00026074
10.68	0.04	0.01070369	0.00011762
10.72	0.04	0.16253634	0.00054301
10.76	0.04	0.32159957	0.00138894
10.80	0.04	0.06756148	-0.00003746
10.84	0.04	0.11029737	0.00038667
10.88	0.04	0.25731922	0.00125031
10.92	0.04	0.05734322	0.00031993
10.96	0.04	0.03436174	0.00023462
11.00	0.04	0.03656152	0.00022590
11.04	0.04	0.03881447	0.00026265
11.08	0.04	0.23398232	0.00073153
11.12	0.04	0.35161052	0.00148428
11.16	0.04	0.04308787	0.00016066
11.20	0.04	0.02392534	0.00016109
11.24	0.04	0.02183206	0.00014932
11.28	0.04	0.10627722	0.00034879
11.32	0.04	0.12332060	0.00045196
11.36	0.04	0.09692780	0.00039525
11.40	0.04	0.04954620	0.00013673
11.44	0.04	0.08122268	0.00010385
11.48	0.04	0.01728452	0.00017215
11.52	0.04	0.01086951	0.00021147
11.56	0.04	0.03096416	0.00019784
11.60	0.04	0.09645493	0.00053907
11.64	0.04	0.22430855	0.00103885
11.68	0.04	0.20840617	0.00071911
11.72	0.04	0.00884045	0.00018171
11.76	0.04	0.04149870	0.00017215
11.80	0.04	0.06945036	0.00054287
11.84	0.04	0.02279477	0.00019001
