onset	duration	fg	artist	title	year
121.562	50.48	1	Lynyrd Skynyrd	Sweet Home Alabama	1974.0
400.623	111.2	1	OST	instrumental	
511.823	46.44	1	Jackson Browne	Running On Empty	1978.0
558.263	18.56	1	Doobie Brothers	It Keeps You Runnin	1976.0
576.823	43.84	0	Gladys Knight & the Pips	I've Got to Use My Imagination	1973.0
620.663	52.92	1	Doobie Brothers	Go Your Own Way	1977.0
673.583	29.56	1	Willie Nelson	On the Road Again	1980.0
703.143	24.04	1	Bob Seger & the Silver Bullet Band	Against the Wind	1980.0
727.183	4.0	0	Bob Seger & the Silver Bullet Band	Against the Wind	1980.0
988.783	34.36	0	OST	instrumental	
1023.143	52.64	1	OST	instrumental	
