onset	duration	rms	lrdiff
0.00	0.04	0.00000000	0.00000000
0.04	0.04	0.00091727	0.00000000
0.08	0.04	0.00464281	0.00012438
0.12	0.04	0.03367164	0.00037579
0.16	0.04	0.04899629	0.00055885
0.20	0.04	0.01510389	0.00113305
0.24	0.04	0.06883114	0.00256463
0.28	0.04	0.09387897	0.00178939
0.32	0.04	0.05948358	0.00282080
0.36	0.04	0.14567977	0.00143414
0.40	0.04	0.13002052	0.00085232
0.44	0.04	0.23243267	0.00063411
0.48	0.04	0.23236894	-0.00044589
0.52	0.04	0.17465909	-0.00129631
0.56	0.04	0.08043379	-0.00527351
0.60	0.04	0.07940293	-0.00220415
0.64	0.04	0.15318957	-0.00041510
0.68	0.04	0.34813904	0.00051784
0.72	0.04	0.37510512	0.00144137
0.76	0.04	0.32208451	0.00583886
0.80	0.04	0.32002491	0.00939682
0.84	0.04	0.14223101	0.00280682
0.88	0.04	0.16166941	0.00504815
0.92	0.04	0.16195539	0.00532807
0.96	0.04	0.17216404	0.00691634
1.00	0.04	0.15930253	0.00206139
1.04	0.04	0.15427628	-0.00763515
1.08	0.04	0.38056074	-0.00217704
1.12	0.04	0.28673689	0.00478674
1.16	0.04	0.27000963	0.00128531
1.20	0.04	0.34334076	-0.00019338
1.24	0.04	0.19542241	-0.00207266
1.28	0.04	0.16692976	-0.00082273
1.32	0.04	0.51189036	0.00600543
1.36	0.04	0.55733705	0.00886139
1.40	0.04	0.49414116	0.00569931
1.44	0.04	0.33244700	0.00064641
1.48	0.04	0.42567713	-0.00340252
1.52	0.04	0.58400059	0.01043703
1.56	0.04	0.55961679	0.00448376
1.60	0.04	0.53673227	0.00000512
1.64	0.04	0.44757839	-0.00243229
1.68	0.04	0.23748078	-0.00336094
1.72	0.04	0.12107768	-0.01655611
1.76	0.04	0.10419733	-0.00738147
1.80	0.04	0.10476477	-0.01249819
1.84	0.04	0.09356279	-0.00973769
1.88	0.04	0.09010027	-0.01207423
1.92	0.04	0.09078020	-0.00513784
1.96	0.04	0.09919161	-0.00990457
2.00	0.04	0.12842892	-0.01144372
2.04	0.04	0.14000418	-0.00744309
2.08	0.04	0.11151542	-0.01301062
2.12	0.04	0.09379431	-0.01413083
2.16	0.04	0.07383491	-0.00669674
2.20	0.04	0.07708064	-0.00314508
2.24	0.04	0.09406292	-0.00252048
2.28	0.04	0.11279002	-0.01810822
2.32	0.04	0.11559583	-0.01290487
2.36	0.04	0.10763165	-0.01166781
2.40	0.04	0.10502922	-0.01637955
2.44	0.04	0.12044481	-0.02149766
2.48	0.04	0.11588306	-0.01959729
2.52	0.04	0.13660774	-0.00772698
2.56	0.04	0.13496510	-0.01555824
2.60	0.04	0.14358270	-0.02269939
2.64	0.04	0.11880321	-0.01373846
2.68	0.04	0.09874774	-0.00720953
2.72	0.04	0.08340997	0.00834406
2.76	0.04	0.08528667	0.00417862
2.80	0.04	0.10783841	-0.00867409
2.84	0.04	0.12302925	-0.02147154
2.88	0.04	0.12250152	-0.02686230
2.92	0.04	0.12049539	-0.02995416
2.96	0.04	0.10848263	-0.01891151
3.00	0.04	0.14290279	-0.02074797
3.04	0.04	0.19260538	-0.01492668
