onset	duration	fg	artist	title	year
6.604	25.52	1	Buffalo Springfield	For What It‘s Worth	1966
127.804	92.28	0	OST	instrumental	
543.684	14.72	0	OST	instrumental	
575.644	22.68	0	Jackie DeShannon	What The World Needs Now Is Love	1965
599.284	14.28	0	The Doors	Hello I love you	1968
613.564	9.32	0	The Doors	People Are Strange	1967
622.884	16.84	0	The Doors	Break on Through (To the Other Side)	1967
676.212	53.76	1	Simon & Garfunkel	Mrs. Robinson	1968
743.732	32.24	1	Jefferson Airplane	Volunteers	1969
775.972	28.52	0	Jefferson Airplane	Volunteers	1969
804.492	7.6	1	Jefferson Airplane	Volunteers	1969
931.212	23.04	0	OST	instrumental	
954.252	11.84	1	OST	instrumental	
