onset	duration	text	kommentar	loc_besch	w_class	function	grammar
1.698	0.2	rennt			VVFIN		
1.898	0.2	mit			APPR		
2.098	0.2	seinem			PPOSAT		
2.298	0.2	Schläger		object	NN		
2.498	0.3	zum			APPRART		
2.798	0.4	Ausgang		roomgeo	NN		
3.598	4.3	Misses			###		
7.898	0.4	Gump		fname	NE		
8.298	0.3	kommt			VVFIN		
8.598	1.1	auf			APPR		
9.698	0.3	ihre			PPOSAT		
9.998	0.4	Veranda		setting_rec		NN	
10.398	1.0	glücklich			ADJD		
11.398	0.4	lächelnd			ADJD		
11.798	0.3	bleibt			VVFIN		
12.098	0.1	sie			PPER		
12.198	0.1	auf			APPR		
12.298	0.2	dem			ART		
12.498	0.3	Treppenabsatz		roomgeo	NN		
12.798	0.7	stehen			VVINF		
13.498	0.2	und			KON		
13.698	0.1	sieht			VVFIN		
13.798	0.2	ihrem			PPOSAT		
13.998	0.2	Sohn		male	NN		
14.198	0.5	entgegen			PTKVZ		
14.698	0.4	ihr			PPOSAT		
15.098	0.2	Haar		head	NN		
15.298	0.2	ist			VAFIN		
15.498	0.3	leicht			ADJD		
15.798	0.3	ergraut			VVPP		
16.098	2.5	Forrest		mname	NE		
18.598	0.2	kommt			VVFIN		
18.798	0.2	über			APPR		
18.998	0.1	den			ART		
19.098	0.3	Rasen		roomgeo	NN		
19.398	0.1	auf			APPR		
19.498	0.2	sie			PPER		
19.698	0.1	zu			PTKVZ		
19.798	0.4	er			PPER		
20.198	0.2	trägt			VVFIN		
20.398	0.2	seine			PPOSAT		
20.598	0.2	graue			ADJA		
20.798	0.3	Uniform		body	NN		
21.098	0.3	mit			APPR		
21.398	0.3	Schiffchen		head	NN		
21.698	0.2	auf			APPR		
21.898	0.0	dem			ART		
21.898	0.3	Kopf		head	NN		
63.598	19.2	bei			APPR		
82.798	0.3	ihr			PPER		
83.098	0.2	stehen			VVFIN		
83.298	0.2	fünf			CARD		
83.498	0.3	Kinder		persons	NN		
83.798	16.1	Er#zieht	###		VVFIN		
99.898	0.2	einen			ART		
100.098	0.3	Zettel		object	NN		
100.398	0.2	raus			PTKVZ		
100.598	17.0	am			APPRART		
117.598	0.4	Hafen		setting_new	NN		
118.298	0.2	ein			ART		
118.498	1.3	Schwarzer		male	NN		
119.798	0.1	mit			APPR		
119.898	0.1	dem			ART		
119.998	0.3	Geld			NN		
123.498	15.7	wieder			ADV		
139.198	0.1	am			APPRART		
139.298	0.3	Grab		setting_rec		NN	
139.598	11.1	in			APPR		
150.698	0.6	strahlendem			ADJA		
151.298	0.2	Sonnenschein			NN		
151.498	0.6	fährt			VVFIN		
152.098	0.1	der			ART		
152.198	0.4	rostige			ADJA		
152.598	0.3	Kutter		object	NN		
152.898	0.3	übers			APPRART		
153.198	0.2	Meer		setting_new	NN		
153.398	0.6	auf			APPR		
153.998	0.2	dem			ART		
154.198	0.4	Achterdeck		roomgeo	NN		
154.598	0.3	steht			VVFIN		
154.898	0.5	Forrest		mname	NE		
155.398	0.1	am			APPRART		
155.498	0.2	Steuer		object	NN		
156.298	1.1	hinter			APPR		
157.398	0.1	dem			ART		
157.498	0.4	Ruderhaus		roomgeo	NN		
157.898	0.4	hängen			VVFIN		
158.298	0.3	Netze		object	NN		
158.598	0.2	an			APPR		
158.798	0.5	senkrecht			ADJD		
159.298	0.4	gestellten			ADJA		
159.698	0.5	Auslegern		object	NN		
162.198	0.6	später		time	ADJD		
162.798	0.6	Forrest		mname	NE		
163.398	0.3	öffnet			VVFIN		
163.698	0.1	ein			ART		
163.798	0.3	Netz		object	NN		
164.098	0.0	und			KON		
164.098	0.3	lässt			VVFIN		
164.398	0.1	den			ART		
164.498	0.2	Fang			NN		
164.698	0.2	aufs			APPRART		
164.898	0.1	Deck		roomgeo	NN		
164.998	0.5	fallen			VVINF		
165.498	2.1	Müll			NN		
167.598	0.7	Muscheln		object	NN		
168.298	0.5	und			KON		
168.798	0.2	ein			ART		
168.998	0.5	Schrimp		object	NN		
169.498	10.3	im			APPRART		
179.798	0.3	Hafen		setting_rec	NN		
180.098	0.2	zum			APPRART		
180.298	0.5	Schwarzen		male	NN		
180.798	24.3	auf			APPR		
205.098	0.2	ein			ART		
205.298	0.2	Schild		object	NN		
205.498	0.2	an			APPR		
205.698	0.1	der			ART		
205.798	0.4	Bordwand		setting_new		NN	
206.198	0.4	malt			VVFIN		
206.598	0.1	Forrest		mname	NE		
206.698	0.1	den			ART		
206.798	0.4	Namen			NN		
207.198	0.6	Jenny		fname	NE		
207.798	4.7	in			APPR		
212.498	0.2	einer			ART		
212.698	0.2	vollen			ADJA		
212.898	0.4	Disco		setting_new	NN		
213.298	0.2	sitzt			VVFIN		
213.498	0.4	Jenny		fname	NE		
213.898	0.2	mit			APPR		
214.098	0.4	anderen			###		
214.498	0.1	an			APPR		
214.598	0.1	einem			ART		
214.698	0.3	Tisch		furniture	NN		
214.998	0.2	ein			ART		
215.198	5.2	Schwarzer		male	NN		
220.398	0.3	gibt			VVFIN		
220.698	0.1	ihr			PPER		
220.798	0.2	einen			ART		
220.998	0.4	aufgerollten			ADJA		
221.398	0.6	Geldschein		object	NN		
222.098	0.5	damit			PROAV		
222.598	0.2	zieht			VVFIN		
222.798	0.2	sie			PPER		
222.998	0.0	sich			PRF		
222.998	0.3	eine			ART		
223.298	0.3	Linie			NN		
223.598	0.4	Kokain		object	NN		
223.998	0.1	in			APPR		
224.098	0.2	ihre			PPOSAT		
224.298	0.3	Nase		face	NN		
224.598	0.0	in			APPR		
224.598	12.0	einem			ART		
236.598	0.5	schummrigen			ADJA		
237.098	0.3	Zimmer		setting_new	NN		
237.398	0.1	lässt			###		
237.498	0.2	ein			ART		
237.698	0.2	Mann		male	NN		
237.898	0.4	eine			ART		
238.298	0.4	Spritze		object	NN		
238.698	0.0	auf			APPR		
238.698	0.3	einem			ART		
238.998	0.2	Tisch		furniture	NN		
239.198	0.3	fallen			###		
239.498	0.2	auf			APPR		
239.698	0.1	dem			ART		
239.798	0.3	Geld			NN		
