548.0	550.0	char=FORREST tags=face arousal=-0.11 val_pos=0.11 val_neg=0.44
555.0	556.0	char=FORREST tags=self,face arousal=-0.33 val_pos=0.11 val_neg=0.44
556.0	565.0	char=MRSGUMP tags=la,pos arousal=-0.56 val_pos=0.56 val_neg=0.00
571.0	572.0	char=MRSGUMP tags=la,neg,sadness,face arousal=-0.67 val_pos=0.00 val_neg=0.67
572.0	575.0	char=MRSGUMP tags=la,neg,other,sadness,face arousal=-0.56 val_pos=0.00 val_neg=1.00
575.0	577.0	char=MRSGUMP tags=neg,self,sadness,face arousal=-0.33 val_pos=0.00 val_neg=1.00
577.0	580.0	char=MRSGUMP tags=neg,other,sadness,face arousal=-0.11 val_pos=0.00 val_neg=1.00
580.0	586.0	char=FORREST tags=neg,self arousal=-0.33 val_pos=0.00 val_neg=0.56
580.0	582.0	char=MRSGUMP tags=neg,sadness,face arousal=-0.28 val_pos=0.00 val_neg=0.83
582.0	583.0	char=MRSGUMP tags=neg arousal=-0.11 val_pos=0.00 val_neg=0.56
588.0	594.0	char=FORRESTVO tags=la,pos,self,verbal arousal=-0.67 val_pos=0.89 val_neg=0.00
594.0	595.0	char=FORRESTVO tags=pos,self arousal=-0.44 val_pos=0.67 val_neg=0.00
615.0	617.0	char=MRSGUMP tags=other,face arousal=-0.33 val_pos=0.33 val_neg=0.22
630.0	634.0	char=ELVISPRESLEY tags=la,pos arousal=-0.56 val_pos=0.56 val_neg=0.00
630.0	634.0	char=FORREST tags=pos,self arousal=-0.11 val_pos=0.56 val_neg=0.00
632.0	633.0	char=MRSGUMP tags=face arousal=-0.11 val_pos=0.22 val_neg=0.33
633.0	638.0	char=MRSGUMP tags=la,neg,other,face,verbal arousal=-0.78 val_pos=0.00 val_neg=1.00
634.0	641.0	char=FORREST tags=la,self arousal=-0.56 val_pos=0.22 val_neg=0.33
637.0	639.0	char=ELVISPRESLEY tags=la,pos,verbal arousal=-0.56 val_pos=0.56 val_neg=0.00
638.0	640.0	char=MRSGUMP tags=la,neg,face arousal=-0.67 val_pos=0.11 val_neg=0.56
640.0	644.0	char=MRSGUMP tags=la,face arousal=-0.67 val_pos=0.44 val_neg=0.22
644.0	645.0	char=ELVISPRESLEY tags=la,pos,other,verbal arousal=-0.56 val_pos=0.78 val_neg=0.00
644.0	645.0	char=MRSGUMP tags=face arousal=-0.33 val_pos=0.44 val_neg=0.11
645.0	648.0	char=ELVISPRESLEY tags=pos,verbal arousal=-0.44 val_pos=0.67 val_neg=0.00
648.0	652.0	char=ELVISPRESLEY tags=la,pos,verbal arousal=-0.61 val_pos=0.83 val_neg=0.00
652.0	660.0	char=ELVISPRESLEY tags=pos arousal=-0.44 val_pos=0.67 val_neg=0.00
652.0	655.0	char=FORREST tags=pos arousal=0.11 val_pos=0.56 val_neg=0.00
