onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
5.869	1.2	es				PPER		
7.069	0.2	ist				VAFIN		
7.269	0.2	Tag		++		NN		
7.469	0.9	neben				APPR		
8.369	0.0	seinem				PPOSAT		
8.369	0.4	Haus		setting_rec;geo		NN		
8.769	0.3	sitzt				VVFIN		
9.069	0.3	Forrest		mname		NN		
9.369	0.2	auf				APPR		
9.569	0.1	dem				ART		
9.669	0.3	kleinen				ADJA		
9.969	0.2	Mäher		object		NN		
10.169	0.4	und				KON		
10.569	0.3	mäht				VVFIN		
10.869	0.2	die				ART		
11.069	0.4	große				ADJA		
11.469	0.3	Wiese		roomgeo		NN		
16.769	0.3	er		male		PPER		
17.069	0.3	zieht				VVFIN		
17.369	0.2	eine				ART		
17.569	0.4	schnurgerade				ADJA		
17.969	0.4	Bahn		geo		NN		
21.369	0.3	die				ART		
21.669	0.3	Wiese		roomgeo		NN		
21.969	0.4	grenzt				VVFIN		
22.369	0.1	an				APPR		
22.469	0.2	den				ART		
22.669	0.2	Fluss		geo		NN		
22.869	0.2	der				ART		
23.069	0.2	von				APPR		
23.269	0.4	Bäumen		geo		NN		
23.669	0.4	gesäumt				VVPP		
24.069	0.2	ist				VAFIN		
27.369	0.4	von				APPR		
27.769	0.2	der				ART		
27.969	0.4	Zufahrt		geo		NN		
28.369	0.5	kommt				VVFIN		
28.869	1.0	Jenny		fname		NE		
29.869	0.4	auf				APPR		
30.269	0.2	den				ART		
30.469	0.3	Rasen		roomgeo		NN		
32.769	0.4	Sie				PPER		
33.169	0.2	geht				VVFIN		
33.369	0.1	am				APPRART		
33.469	0.2	Baum		geo		NN		
33.669	0.1	mit				APPR		
33.769	0.2	der				ART		
33.969	0.1	Schaukel		object		NN		
34.069	0.4	vorbei				ADV		
34.469	0.3	auf				APPR		
34.769	0.4	Forrest		mname		NN		
35.169	0.2	zu				PTKVZ		
45.069	0.7	langsam				ADJD		
45.769	0.4	nähert				VVFIN		
46.169	0.0	sich				PRF		
46.169	0.5	Jenny		fname		NE		
48.569	1.4	Forrest		mname		NN		
49.969	0.4	steigt				VVFIN		
50.369	0.1	ab				PTKVZ		
50.469	1.1	ungläubig				ADJD		
51.569	0.3	geht				VVFIN		
51.869	0.1	er				PPER		
51.969	0.1	ihr				PPER		
52.069	0.1	ein				ART		
52.169	0.2	paar				PIAT		
52.369	0.3	Schritte				NN		
52.669	0.5	entgegen				PTKVZ		
53.169	0.4	und				KON		
53.569	0.2	hält				VVFIN		
53.769	0.2	an				PTKVZ		
59.769	0.4	er				PPER		
60.169	0.3	eilt				VVFIN		
60.469	0.1	auf				APPR		
60.569	0.4	Jenny		fname		NN		
60.969	0.2	zu				PTKVZ		
67.669	0.1	mit				APPR		
67.769	0.3	etwas				PIAT		
68.069	0.3	Abstand				NN		
68.369	0.5	bleiben				VVFIN		
68.869	0.1	die				ART		
68.969	0.2	beiden		persons		PIS		
69.169	0.5	voreinander				ADV		
69.669	0.3	stehen				VVINF		
69.969	4.9	sie				PPER		
74.869	0.2	fällt				VVFIN		
75.069	0.1	ihm				PPER		
75.169	0.2	um				APPR		
75.369	0.1	den				ART		
75.469	0.3	Hals		head		NN		
81.369	0.7	zögernd				ADJD		
82.069	0.3	legt				VVFIN		
82.369	0.1	auch				ADV		
82.469	0.2	er				PPER		
82.669	0.5	seine				PPOSAT		
83.169	0.2	Arme		bodypart		NN		
83.369	0.1	um				APPR		
83.469	0.3	sie				PPER		
83.769	3.7	es				PPER		
87.469	0.1	ist				VAFIN		
87.569	0.2	Tag		++		NN		
87.769	0.2	sie				PPER		
87.969	0.3	schläft		setting_new		VVFIN		
88.269	15.4	sie			person	PPER		
103.669	0.3	schlendern				VVFIN		
103.969	0.1	über				APPR		
104.069	0.3	eine				ART		
104.369	0.2	Wiese		setting_new;roomgeo		NN		
104.569	27.1	sie			person	PPER		
131.661	0.3	sitzen				VVFIN		
131.961	0.3	nebeneinander				ADV		
132.261	0.4	auf				APPR		
132.661	0.2	der				ART		
132.861	0.3	Eiche		setting_new;geo		NN		
133.161	3.9	melancholisch				ADJD		
137.061	0.9	betrachtet				VVFIN		
137.961	0.2	Jenny		fname		NE		
138.161	0.2	die				ART		
138.361	0.3	Rosen		object		NN		
141.261	3.5	die				ART		
144.761	0.6	Nike-Schuhe		object		NN		
145.361	0.2	die				ART		
145.561	0.3	auf				APPR		
145.861	0.2	der				ART		
146.061	0.4	Wartebank		furniture		NN		
146.461	0.4	trägt				VVFIN		
146.861	0.5	durch				APPR		
147.361	0.4	strömenden				ADJA		
147.761	0.3	Regen				NN		
148.061	0.2	fällt				VVFIN		
148.261	0.1	der				ART		
148.361	0.2	Blick				NN		
148.561	0.1	auf				APPR		
148.661	0.1	die				ART		
148.761	0.2	beiden		###persons###		PIS		
148.961	0.4	hinter				APPR		
149.361	0.1	einem				ART		
149.461	0.4	Fenster		setting_new;roomgeo		NN		
149.861	3.2	Jenny		fname		NE		
153.061	0.3	dreht				VVFIN		
153.361	0.1	sich				PRF		
153.461	0.2	unter				APPR		
153.661	0.1	seinem				PPOSAT		
153.761	0.4	Arm		bodypart		NN		
154.161	0.3	durch				PTKVZ		
154.461	0.8	Forrest		mname		NN		
155.261	0.2	wippt				VVFIN		
155.461	0.1	auf				APPR		
155.561	0.3	der				ART		
155.861	0.2	Stelle				NN		
156.061	0.1	und				KON		
156.161	0.3	schwingt				VVFIN		
156.461	0.6	ausgelassen				ADJD		
157.061	0.1	die				ART		
157.161	0.3	Arme		bodypart		NN		
160.761	5.8	abends		time		ADV		
166.561	0.1	am				APPRART		
166.661	0.2	Fluss		setting_new;geo		NN		
166.861	0.4	sie				PPER		
167.261	0.3	legt				VVFIN		
167.561	0.0	den				ART		
167.561	0.2	Arm		bodypart		NN		
167.761	0.2	um				APPR		
167.961	0.2	ihn				PPER		
168.161	4.0	auf				APPR		
172.161	0.2	dem				ART		
172.361	0.5	Wasser#spiegeln		#	#	#		
172.861	0.3	sich				PRF		
173.161	0.6	zerplatzende				ADJA		
173.761	1.1	Feuerwerksraketen		object		NN		
174.861	0.4	am				APPRART		
175.261	0.3	Himmel		geo		NN		
175.561	0.2	sprühen				VVFIN		
175.761	0.3	sie				PPER		
176.061	0.2	wie				KOKOM		
176.261	0.3	bunte				ADJA		
176.561	0.4	Blüten			object	NN		
176.961	0.6	auseinander				PTKVZ		
177.561	2.7	im				APPRART		
180.261	0.5	Fernseher		setting_new;object		NN		
180.761	0.4	auch				ADV		
181.161	0.3	über				APPR		
181.461	0.1	der				ART		
181.561	0.6	Freiheitsstatue		setting_new;geo		NN		
182.161	1.0	explodieren				ADJA		
183.161	0.5	Raketen		object		NN		
183.661	0.7	Jenny		fname		NE		
184.361	0.3	sitzt				VVFIN		
184.661	0.2	grübelnd				ADJD		
184.861	0.4	vor				APPR		
185.261	0.1	dem				ART		
185.361	0.3	Gerät		setting_new;object		NN		
185.661	0.8	Forrest		mname		NN		
186.461	0.2	hockt				VVFIN		
186.661	0.2	mit				APPR		
186.861	0.1	einer				ART		
186.961	0.4	Cola		object		NN		
187.361	0.1	auf				APPR		
187.461	0.1	der				ART		
187.561	0.5	Fensterbank		roomgeo		NN		
188.061	0.7	und				KON		
188.761	0.4	beobachtet				VVFIN		
189.161	0.2	sie				PPER		
189.361	10.4	sie				PPER		
199.761	0.2	küsst				VVFIN		
199.961	0.1	ihn				PPER		
200.061	0.1	auf				APPR		
200.161	0.2	die				ART		
200.361	0.3	Schläfe		head		NN		
200.661	0.1	und				KON		
200.761	0.4	schaltet				VVFIN		
201.161	0.0	aus				PTKVZ		
201.161	1.7	Forrest#sieht		#	#	#		
202.861	0.2	ihr				PPER		
203.061	0.1	nach				PTKVZ		
203.161	1.0	entschlossen				ADJD		
204.161	0.3	stellt				VVFIN		
204.461	0.1	er				PPER		
204.561	0.1	seine				PPOSAT		
204.661	0.3	Cola		object		NN		
204.961	0.2	ab				PTKVZ		
205.161	1.5	Jenny		fname		NE		
206.661	0.3	steigt				VVFIN		
206.961	0.1	die				ART		
207.061	0.3	Treppe		roomgeo		NN		
207.361	0.2	hoch				PTKVZ		
207.561	0.6	unten				ADV		
208.161	0.2	kommt				VVFIN		
208.361	0.4	Forrest		mname		NN		
208.761	0.1	in				APPR		
208.861	0.1	den				ART		
208.961	0.2	Flur		locale		NN		
209.161	2.5	Jenny		fname		NE		
211.661	0.2	dreht				VVFIN		
211.861	0.2	sich				PRF		
212.061	0.5	ernst				ADJD		
212.561	0.1	zu				APPR		
212.661	0.1	ihm				PPER		
212.761	0.2	um				PTKVZ		
214.361	33.6	Forrest#geht		#	#	#		
247.961	0.3	durch				APPR		
248.261	0.1	die				ART		
248.361	0.8	Fliegengittertür		roomgeo		NN		
249.161	0.2	nach				APPR		
249.361	0.3	draußen				ADV		
249.661	3.9	auf				APPR		
253.561	0.1	der				ART		
253.661	0.4	Veranda		locale_recur		NN		
254.061	0.4	stemmt				VVFIN		
254.461	0.1	er				PPER		
254.561	0.0	die				ART		
254.561	0.4	Hände		bodypart		NN		
254.961	0.1	in				APPR		
255.061	0.1	die				ART		
255.161	0.3	Hüften		body		NN		
255.461	0.1	und				KON		
255.561	0.4	bleibt				VVFIN		
255.961	0.5	abgewandt				ADJD		
256.461	0.3	stehen				VVINF		
256.761	1.2	Jenny		fname		NE		
257.961	0.3	geht				VVFIN		
258.261	0.2	nach				APPR		
258.461	0.3	oben		locale_recur	local 	ADV		
258.761	1.7	das				ART		
260.461	0.4	dunkle				ADJA		
260.861	0.1	Haus				NN		
260.961	0.5	im				APPRART		
261.461	0.6	strömenden				ADJA		
262.061	0.4	Regen		setting_rec;++		NN		
262.461	5.2	Forrest				NN		
267.661	0.3	liegt				VVFIN		
267.961	0.1	im				APPRART		
268.061	0.1	Bett		locale_recur		NN		
268.161	1.0	draußen				ADV		
269.161	0.5	geht#Jenny		#	#	#		
269.661	0.2	im				APPRART		
269.861	0.2	Nachthemd		body		NN		
270.061	0.3	am				APPRART		
270.361	0.4	Fenster		roomgeo		NN		
270.761	0.1	vorbei				PTKVZ		
270.861	0.8	er				PPER		
271.661	0.3	öffnet				VVFIN		
271.961	0.0	die				ART		
271.961	0.1	Augen		face		NN		
275.161	0.5	Jenny		fname		NE		
275.661	0.4	bleibt				VVFIN		
276.061	0.1	an				APPR		
276.161	0.1	der				ART		
276.261	0.2	Tür		roomgeo		NN		
276.461	0.3	stehen				VVFIN		
276.761	0.3	und				KON		
277.061	0.1	sieht				VVFIN		
277.161	0.2	ihn				PPER		
277.361	0.1	an				PTKVZ		
277.461	1.1	Forrest		mname		NN		
278.561	0.4	richtet				VVFIN		
278.961	0.2	sich				PRF		
279.161	0.2	etwas				PIS		
279.361	0.2	auf				PTKVZ		
279.561	1.1	sie				PPER		
280.661	0.3	schlüpft				VVFIN		
280.961	0.2	unter				APPR		
281.161	0.2	seine				PPOSAT		
281.361	0.3	Decke		object		NN		
281.661	3.2	und				KON		
284.861	0.2	legt				VVFIN		
285.061	0.1	sich				PRF		
285.161	0.2	auf				APPR		
285.361	0.2	ihn				PPER		
285.561	3.9	sie				PPER		
289.461	0.3	gibt				VVFIN		
289.761	0.1	ihm				PPER		
289.861	0.1	einen				ART		
289.961	0.2	Kuss				NN		
290.161	0.2	auf				APPR		
290.361	0.2	den				ART		
290.561	0.0	Mund		face		NN		
290.561	3.9	die				ART		
294.461	0.4	beiden				PIS		
294.861	0.3	küssen				VVFIN		
295.161	0.2	sich				PRF		
295.361	0.3	innig				ADJD		
295.661	1.2	zaghaft				ADJD		
296.861	0.1	hebt				VVFIN		
296.961	0.2	Forrest		mname		NN		
297.161	0.3	die				ART		
297.461	0.4	Hände		bodypart		NN		
297.861	1.3	und				KON		
299.161	0.3	schließt				VVFIN		
