onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
0.177	0.2	Wartebank		setting_rec;furniture		NN		
0.377	0.5	blickt				VVFIN		
0.877	0.4	Forrest		mname		NN		
1.277	0.4	traurig				ADJD		
1.677	0.2	vor				APPR		
1.877	0.1	sich				PRF		
1.977	0.2	hin				ADV		
2.177	2.1	die				ART		
4.277	0.6	Krankenschwester		female		NN		
4.877	0.2	sieht				VVFIN		
5.077	0.5	ungerührt				ADJD		
5.577	0.2	in				APPR		
5.777	0.2	ihre				PPOSAT		
5.977	0.5	Zeitschrift		object		NN		
6.477	3.9	die				ART		
10.377	0.2	Schwester		female		NN		
10.577	0.5	blickt				VVFIN		
11.077	0.1	hoch				PTKVZ		
11.177	3.4	Forrest		mname		NN		
14.577	0.2	und				KON		
14.777	0.2	Jenny		fname		NN		
14.977	0.2	auf				APPR		
15.177	0.2	einem				ART		
15.377	0.2	Weg		setting_new;geo		NN		
15.577	0.5	etwas				PIAT		
16.077	0.4	trifft#ihn		#	#	#		
16.477	0.0	am				APPRART		
16.477	0.2	Kopf		head		NN		
16.677	1.6	Forrest		mname		NN		
18.277	0.3	kippt				VVFIN		
18.577	0.1	um				PTKVZ		
18.677	17.4	die				ART		
36.077	0.1	drei		males		CARD		
36.177	0.4	jagen				ADJA		
36.577	0.1	an				APPR		
36.677	0.3	Jenny		fname		NN		
36.977	0.2	vorbei				PTKVZ		
37.177	3.8	Er				PPER		
40.977	0.2	stakst				VVFIN		
41.177	0.4	den				ART		
41.577	0.1	Weg		geo		NN		
41.677	0.3	entlang				PTKVZ		
44.077	1.7	Forrest		mname		NN		
45.777	0.2	wird				VAFIN		
45.977	0.3	schneller				ADJD		
46.277	1.3	Jungs		males		NN		
47.577	0.3	auf				APPR		
47.877	0.2	ihren				PPOSAT		
48.077	0.3	Rädern		object		NN		
48.377	0.2	holen				VVFIN		
48.577	0.4	langsam				ADJD		
48.977	0.1	auf				PTKVZ		
49.077	2.5	behindert				VVPP		
51.577	0.2	durch				APPR		
51.777	0.2	die				ART		
51.977	0.3	Schienen		object		NN		
52.277	0.4	hastet				VVFIN		
52.677	0.2	Forrest		mname		NN		
52.877	0.5	weiter				PTKVZ		
53.377	0.4	in				APPR		
53.777	0.5	Zeitlupe				NN		
54.277	0.9	mit				APPR		
55.177	0.2	seinen				PPOSAT		
55.377	0.4	steifen				ADJA		
55.777	0.3	Beinen		bodypart		NN		
56.077	0.2	macht				VVFIN		
56.277	0.1	er				PPER		
56.377	0.5	ungelenke				ADJA		
56.877	0.4	Schritte				NN		
57.277	3.6	die				ART		
60.877	0.5	Verfolger		males		NN		
61.377	0.4	treten				VVFIN		
61.777	0.4	verbissen				VVFIN		
62.177	0.1	in				APPR		
62.277	0.1	die				ART		
62.377	0.4	Pedale		object		NN		
62.777	0.4	gehetzt				VVPP		
63.177	0.3	sieht				VVFIN		
63.477	0.2	sich				PRF		
63.677	0.1	Forrest		mname		NN		
63.777	0.4	zu				APPR		
64.177	0.2	ihnen				PPER		
64.377	0.1	um				PTKVZ		
64.477	0.6	er		male		PPER		
65.077	0.0	hat				VAFIN		
65.077	0.3	eine				ART		
65.377	0.2	Platzwunde		object		NN		
65.577	0.4	an				APPR		
65.977	0.0	der				ART		
65.977	0.2	Stirn		head		NN		
67.677	0.4	im				APPRART		
68.077	0.4	Laufen				NN		
68.477	0.3	beginnt				VVFIN		
68.777	0.3	Forrest		mname		NN		
69.077	0.6	plötzlich				ADJD		
69.677	0.2	die				ART		
69.877	0.3	Knie		bodypart		NN		
70.177	0.3	zu				PTKZU		
70.477	0.1	beugen				VVINF		
70.577	1.5	die				ART		
72.077	0.5	Halterungen		object		NN		
72.577	0.2	der				ART		
72.777	0.3	Schienen		object		NN		
73.077	0.4	reißen				VVFIN		
73.477	0.1	ab				PTKVZ		
73.577	1.6	Einzelteile		object		NN		
75.177	0.3	fliegen				VVFIN		
75.477	0.2	durch				APPR		
75.677	0.0	die				ART		
75.677	0.1	Luft				NN		
78.877	2.2	die				ART		
81.077	0.4	letzten				ADJA		
81.477	0.1	Teile		object		NN		
81.577	0.8	fallen				VVFIN		
82.377	0.1	ab				PTKVZ		
84.077	1.2	Forrest#starrt		#	#	#		
85.277	0.6	entschlossen				VVFIN		
85.877	0.1	nach				APPR		
85.977	0.3	vorn				ADV		
86.277	0.3	die				ART		
86.577	0.3	Jungs		males		NN		
86.877	0.3	fahren				VVFIN		
87.177	0.1	durch				APPR		
87.277	0.1	die				ART		
87.377	0.3	Reste				NN		
87.677	0.2	der				ART		
87.877	0.3	Schienen		object		NN		
90.277	3.6	auf				APPR		
93.877	0.2	der				ART		
94.077	0.2	Wartebank		setting_rec;furniture		NN		
94.277	3.3	die				ART		
97.577	0.7	Krankenschwester		female		NN		
98.277	0.2	nickt				VVFIN		
98.477	0.4	ohne				APPR		
98.877	0.1	von				APPR		
98.977	0.2	ihrer				PPOSAT		
99.177	0.3	Zeitschrift		object		NN		
99.477	0.8	aufzuschauen				VVINF		
100.277	7.2	die				ART		
107.477	0.2	drei				CARD		
107.677	0.3	Jungs		setting_rec;males		NN		
107.977	0.4	stoppen				VVINF		
108.377	0.8	verblüfft				VVPP		
109.177	0.2	sehen				VVFIN		
109.377	0.1	sie				PPER		
109.477	0.1	den				ART		
109.577	0.4	davon				PROAV		
109.977	0.6	rasenden				ADJA		
110.577	0.4	Forrest		mname		NN		
110.977	0.2	nach				APPR		
111.177	0.6	der				ART		
111.777	0.2	eine				ART		
111.977	0.4	Staubwolke			###	NN		
112.377	0.6	hinter				APPR		
112.977	0.2	sich				PRF		
113.177	0.4	herzieht				VVFIN		
113.577	2.2	Forrest#biegt		#	#	#		
115.777	0.3	vom				APPRART		
116.077	0.2	Weg		geo		NN		
116.277	0.2	ab				PTKVZ		
116.477	0.3	und				KON		
116.777	0.2	flitzt				VVFIN		
116.977	0.2	über				APPR		
117.177	0.2	eine				ART		
117.377	0.4	große				ADJA		
117.777	0.1	Wiese		locale		NN		
117.877	0.4	auf				APPR		
118.277	0.2	eine				ART		
118.477	0.3	Baumreihe		geo		NN		
118.777	0.4	zu				PTKVZ		
121.077	0.5	und				KON		
121.577	0.5	überquert				VVFIN		
122.077	0.1	eine				ART		
122.177	0.4	kleine				ADJA		
122.577	0.2	Brücke		geo		NN		
122.777	0.2	auf				APPR		
122.977	0.2	der				ART		
123.177	0.3	Angler		males		NN		
123.477	0.3	sitzen				VVINF		
127.677	0.4	er				PPER		
128.077	0.1	rennt				VVFIN		
128.177	0.2	an				APPR		
128.377	0.6	Sträflingen		males		NN		
128.977	0.3	vorbei				ADV		
129.277	0.2	die				ART		
129.477	0.1	den				ART		
129.577	0.5	Grünstreifen		geo		NN		
130.077	0.3	am				APPRART		
130.377	0.7	Straßenrand		geo		NN		
131.077	0.5	bearbeiten				VVINF		
131.577	1.1	in				APPR		
