onset	duration	rms	lrdiff
0.00	0.04	0.00008489	0.00000000
0.04	0.04	0.00023254	-0.00000129
0.08	0.04	0.00081127	-0.00017922
0.12	0.04	0.00203286	-0.00014219
0.16	0.04	0.00346895	0.00015220
0.20	0.04	0.00511816	-0.00028281
0.24	0.04	0.00575456	-0.00051381
0.28	0.04	0.00563717	-0.00062758
0.32	0.04	0.00825048	-0.00205262
0.36	0.04	0.00949375	-0.00055055
0.40	0.04	0.00976755	-0.00036850
0.44	0.04	0.00932322	0.00030497
0.48	0.04	0.01034872	-0.00037072
0.52	0.04	0.01069706	-0.00095162
0.56	0.04	0.01075428	-0.00097307
0.60	0.04	0.01119578	-0.00026746
0.64	0.04	0.01237876	0.00020892
0.68	0.04	0.01155935	-0.00135532
0.72	0.04	0.01224572	-0.00302322
0.76	0.04	0.01385992	-0.00191278
0.80	0.04	0.02857493	-0.01026384
0.84	0.04	0.04300506	-0.02162033
0.88	0.04	0.04434690	-0.01941862
0.92	0.04	0.03666536	-0.00766230
0.96	0.04	0.02992403	-0.00222934
1.00	0.04	0.02474347	0.00358167
1.04	0.04	0.01969180	0.00373874
1.08	0.04	0.01731483	0.00292519
1.12	0.04	0.01654077	0.00159814
1.16	0.04	0.01846271	0.00086467
1.20	0.04	0.02345016	0.00543944
1.24	0.04	0.02404180	0.00459316
1.28	0.04	0.02207533	0.00120883
1.32	0.04	0.02451757	0.00098306
1.36	0.04	0.02381334	0.00172283
1.40	0.04	0.02166623	0.00209751
1.44	0.04	0.03259646	-0.00730081
1.48	0.04	0.03072770	-0.00127240
1.52	0.04	0.02855104	-0.00180266
1.56	0.04	0.02751438	-0.00233344
1.60	0.04	0.04080323	-0.00460366
1.64	0.04	0.04037084	-0.00027660
1.68	0.04	0.03422274	0.00112869
1.72	0.04	0.02996353	0.00157144
1.76	0.04	0.02881644	0.00098280
1.80	0.04	0.02772790	0.00392520
1.84	0.04	0.02478906	0.00321873
1.88	0.04	0.02003193	0.00009635
1.92	0.04	0.01797500	-0.00203911
1.96	0.04	0.01645140	-0.00304559
2.00	0.04	0.01757360	-0.00388573
2.04	0.04	0.01660764	-0.00239429
2.08	0.04	0.01533195	-0.00092396
2.12	0.04	0.01454701	-0.00011491
2.16	0.04	0.01391357	0.00214045
2.20	0.04	0.01465291	0.00275812
2.24	0.04	0.02005382	0.00195668
2.28	0.04	0.02062896	0.00167460
2.32	0.04	0.02146926	0.00145452
2.36	0.04	0.02058797	0.00174871
2.40	0.04	0.01842410	0.00060591
