onset	duration	rms	lrdiff
0.00	0.04	0.00008489	0.00000000
0.04	0.04	0.00033056	-0.00001414
0.08	0.04	0.00633314	0.00044119
0.12	0.04	0.01507681	0.00037509
0.16	0.04	0.02285465	-0.00004520
0.20	0.04	0.03117327	-0.00567160
0.24	0.04	0.04172484	-0.00758967
0.28	0.04	0.04844055	-0.00925065
0.32	0.04	0.06258002	-0.00665537
0.36	0.04	0.07058344	-0.00378338
0.40	0.04	0.07610889	0.00011084
0.44	0.04	0.09326523	0.00588441
0.48	0.04	0.09635137	0.00938564
0.52	0.04	0.08396879	0.01068029
0.56	0.04	0.07312392	0.00830610
0.60	0.04	0.05803462	0.00184739
0.64	0.04	0.07897064	0.00375321
0.68	0.04	0.08993027	0.00831156
0.72	0.04	0.10959892	0.01510806
0.76	0.04	0.12633788	0.00929744
0.80	0.04	0.12102138	0.00457804
0.84	0.04	0.11232402	0.00581225
0.88	0.04	0.10739892	-0.00030143
0.92	0.04	0.11083877	-0.00551730
0.96	0.04	0.10785930	-0.00568181
1.00	0.04	0.10546565	-0.00944240
1.04	0.04	0.11235375	-0.01779360
1.08	0.04	0.10476458	-0.01702626
1.12	0.04	0.10860847	-0.01663376
1.16	0.04	0.10756808	-0.01510629
1.20	0.04	0.10227713	-0.01769209
1.24	0.04	0.10520548	-0.01565204
1.28	0.04	0.10734666	-0.01905201
1.32	0.04	0.11395926	-0.01837793
1.36	0.04	0.11530658	-0.01921845
1.40	0.04	0.11037302	-0.02767882
1.44	0.04	0.10346221	-0.02450353
1.48	0.04	0.09520350	-0.02100063
1.52	0.04	0.08865906	-0.01833042
1.56	0.04	0.08137859	-0.01240105
1.60	0.04	0.07618379	-0.00632780
1.64	0.04	0.06777732	0.00183445
1.68	0.04	0.06720108	0.00105892
1.72	0.04	0.06056906	0.00450976
1.76	0.04	0.05651197	0.00530683
1.80	0.04	0.05758740	0.00293275
1.84	0.04	0.05771531	0.00330335
1.88	0.04	0.05879345	0.00192412
1.92	0.04	0.05908388	-0.00118363
1.96	0.04	0.06096619	-0.00055951
2.00	0.04	0.06576681	-0.00212414
2.04	0.04	0.06820676	-0.00380799
2.08	0.04	0.07000167	-0.00531608
2.12	0.04	0.06830567	-0.00643152
2.16	0.04	0.07035751	-0.00410761
2.20	0.04	0.06876136	-0.00307871
2.24	0.04	0.07184221	-0.00138442
2.28	0.04	0.06806171	-0.00074966
2.32	0.04	0.06189014	0.00033863
2.36	0.04	0.06237275	-0.00310300
2.40	0.04	0.05649658	-0.00249371
2.44	0.04	0.04975313	-0.00096633
2.48	0.04	0.05167227	0.00221420
2.52	0.04	0.04925310	0.00153478
2.56	0.04	0.04975059	0.00146468
2.60	0.04	0.04496983	0.00078204
2.64	0.04	0.04366065	-0.00339344
2.68	0.04	0.04843844	-0.00218710
2.72	0.04	0.04695214	-0.00229716
2.76	0.04	0.05046986	-0.00670717
2.80	0.04	0.05979746	-0.00083805
2.84	0.04	0.06502474	-0.00432236
2.88	0.04	0.06435664	-0.00628975
2.92	0.04	0.05930527	-0.01032020
2.96	0.04	0.20061826	-0.00870273
3.00	0.04	0.24281992	-0.00242523
3.04	0.04	0.22746294	-0.00436397
3.08	0.04	0.13322868	0.00623441
3.12	0.04	0.09751678	-0.00125325
3.16	0.04	0.09448832	-0.00009179
3.20	0.04	0.10138203	-0.00103775
3.24	0.04	0.10870355	-0.00025959
3.28	0.04	0.05856631	-0.00205721
3.32	0.04	0.05192181	-0.00247601
3.36	0.04	0.05071110	-0.00651640
3.40	0.04	0.16088673	-0.00602750
3.44	0.04	0.22851935	0.00041831
3.48	0.04	0.18391687	-0.00106484
3.52	0.04	0.07475212	0.00276457
3.56	0.04	0.10591842	0.00152885
3.60	0.04	0.19087859	0.00140624
3.64	0.04	0.14736741	0.00331829
3.68	0.04	0.08112567	-0.00277243
3.72	0.04	0.04996682	0.00719320
3.76	0.04	0.05239959	0.00898422
3.80	0.04	0.07909318	0.00848194
3.84	0.04	0.09612765	0.00433720
3.88	0.04	0.12021039	0.00404691
3.92	0.04	0.24796990	0.00264338
3.96	0.04	0.06588127	0.00187567
4.00	0.04	0.04939320	0.01048996
4.04	0.04	0.07859736	0.00724911
4.08	0.04	0.13965091	0.00581683
4.12	0.04	0.19407188	0.00065358
4.16	0.04	0.13018050	0.00212876
4.20	0.04	0.06455017	0.00437883
4.24	0.04	0.09092839	0.00385501
4.28	0.04	0.06249635	0.00491583
4.32	0.04	0.04418447	0.00937842
4.36	0.04	0.13649059	0.00300862
4.40	0.04	0.09782906	0.00473884
4.44	0.04	0.12264262	0.00185210
4.48	0.04	0.16998737	0.00491647
4.52	0.04	0.16939677	0.00040621
4.56	0.04	0.09026173	0.00170951
4.60	0.04	0.10017595	-0.00007802
4.64	0.04	0.12926210	0.00156407
4.68	0.04	0.15394565	0.00126093
4.72	0.04	0.11216319	0.00203193
4.76	0.04	0.11026800	0.00155261
4.80	0.04	0.04627743	0.00090034
4.84	0.04	0.04441026	0.00039033
4.88	0.04	0.04170007	-0.00188194
4.92	0.04	0.06229468	0.00094013
4.96	0.04	0.07209905	0.00300998
5.00	0.04	0.11672357	-0.00208158
5.04	0.04	0.10170151	-0.00658077
5.08	0.04	0.15572805	-0.00015572
5.12	0.04	0.15441465	0.00004949
5.16	0.04	0.07697446	0.00260597
5.20	0.04	0.11542343	0.00369544
5.24	0.04	0.10637215	-0.00056270
5.28	0.04	0.12143377	0.00351024
5.32	0.04	0.11013797	0.00055978
5.36	0.04	0.08068179	0.00659276
5.40	0.04	0.17426309	0.01256835
5.44	0.04	0.13378301	-0.00004948
5.48	0.04	0.13997852	0.00000385
5.52	0.04	0.08669357	-0.00065847
5.56	0.04	0.03266682	-0.00227672
5.60	0.04	0.03842270	-0.00077476
5.64	0.04	0.02727368	0.00130469
5.68	0.04	0.02699511	0.00479469
5.72	0.04	0.03100339	0.00563835
5.76	0.04	0.03061810	0.00590730
5.80	0.04	0.03073751	0.00707921
5.84	0.04	0.02982696	0.00636921
5.88	0.04	0.02673548	0.00373705
5.92	0.04	0.02454970	0.00259933
5.96	0.04	0.02242729	0.00041729
6.00	0.04	0.02204995	-0.00021992
6.04	0.04	0.02237813	0.00104139
6.08	0.04	0.02242198	0.00210743
6.12	0.04	0.02222256	0.00259680
6.16	0.04	0.02266054	0.00206388
6.20	0.04	0.02364847	0.00023215
6.24	0.04	0.02314128	0.00000560
6.28	0.04	0.02802577	-0.00099928
6.32	0.04	0.04227454	-0.00289322
6.36	0.04	0.03555156	-0.00281223
6.40	0.04	0.02841205	-0.00027395
6.44	0.04	0.02973213	-0.00530063
6.48	0.04	0.02614777	-0.00246993
6.52	0.04	0.02511209	-0.00173739
6.56	0.04	0.02455745	-0.00063592
6.60	0.04	0.02642083	-0.00250819
6.64	0.04	0.02296523	-0.00057673
6.68	0.04	0.01980906	-0.00070658
6.72	0.04	0.02000478	-0.00087305
6.76	0.04	0.02170920	-0.00038067
6.80	0.04	0.01891619	-0.00213462
6.84	0.04	0.02239300	-0.00164940
6.88	0.04	0.02326126	0.00097609
6.92	0.04	0.03437946	0.00077463
6.96	0.04	0.03103949	0.00084294
7.00	0.04	0.02689744	0.00326414
7.04	0.04	0.02212978	0.00264426
7.08	0.04	0.02778750	0.00241373
