onset	duration	fg	artist	title	year
121.549	50.48	1	Lynyrd Skynyrd	Sweet Home Alabama	1974.0
400.261	111.2	1	OST	instrumental	
511.461	46.44	1	Jackson Browne	Running On Empty	1978.0
557.901	18.56	1	Doobie Brothers	It Keeps You Runnin	1976.0
576.461	43.84	0	Gladys Knight & the Pips	I've Got to Use My Imagination	1973.0
620.301	52.92	1	Doobie Brothers	Go Your Own Way	1977.0
673.221	29.56	1	Willie Nelson	On the Road Again	1980.0
702.781	24.04	1	Bob Seger & the Silver Bullet Band	Against the Wind	1980.0
726.821	4.0	0	Bob Seger & the Silver Bullet Band	Against the Wind	1980.0
988.421	34.36	0	OST	instrumental	
1022.781	52.64	1	OST	instrumental	
