onset	duration	fg	artist	title	year
41.277	41.52	0	OST	instrumental	
82.797	59.24	1	OST	instrumental	
143.037	19.0	0	OST	instrumental	
196.117	20.4	0	OST	instrumental	
216.517	17.92	0	OST	instrumental	
238.677	21.56	1	OST	instrumental	
265.637	88.08	1	Duane Eddy	Rebel Rouser	1958
355.037	51.52	1	OST	instrumental	
412.997	33.32	0	Clarence 'Frogman' Henry	(I Don't Know Why) But I Do	1961
446.317	27.88	1	Clarence 'Frogman' Henry	(I Don't Know Why) But I Do	1961
511.757	51.4	0	The Rooftop Singers	Walk Right In	1963
616.037	20.8	0	Jimmy Gilmer and The Fireballs	Sugar Shack	1963
659.637	10.8	0	orchestra (on TV)	unknown	
670.437	23.6	1	orchestra	unknown	
694.037	19.2	1	orchestra (on TV)	unknown	
713.237	18.8	0	orchestra	unknown	
739.237	2.8	0	drumming	unknown	
748.437	26.72	1	OST	instrumental	
