onset	duration	fg	artist	title	year
6.029	4.64	0	OST	instrumental	
13.909	67.76	0	The Jimi Hendrix Experience	Hey Joe	1966
81.669	13.68	1	The Jimi Hendrix Experience	Hey Joe	1966
95.349	2.52	0	The Jimi Hendrix Experience	Hey Joe	1966
128.189	14.64	0	Pete Seeger (performed by crowd)	Where Have All The Flowers Gone	1955
142.829	56.64	1	The Youngbloods	Let's Get Together	1967
200.829	3.84	0	Scott McKenzie	San Francisco	1967
205.269	46.2	1	Scott McKenzie	San Francisco	1967
252.509	50.72	0	OST	instrumental	
303.229	35.12	1	The Byrds	Turn! Turn! Turn!	1965
338.349	31.0	1	The 5th Dimension	Aquarius/Let The Sunshine In	1969
369.389	19.12	1	Three Dog Night	Joy To The World	1971
392.989	10.6	1	orchestra	TV show jingle	
506.829	32.88	1	Harry Nilsson	Everybody's Talkin'	1968
539.789	13.8	1	crowd on TV	Silent Night	
566.469	12.6	0	unknown (on TV)	unknown	
640.909	97.08	0	Supremes	Stoned Love	1970
738.749	31.12	1	The Doors	Love Her Madly	1971
783.269	18.28	1	crowd in bar	Auld Lang Syne	
815.341	21.68	0	B.J. Thomas	Raindrops Keep Fallin' On My Head	1969
837.741	16.48	0	orchestra	U.S. national anthem	
858.941	56.84	0	Tony Orlando & Dawn	Tie a Yellow Ribbon Round the Ole Oak Tree	
