onset	duration	fg	artist	title	year
64.101	19.16	1	Donny Gerrard	Jesus On The Mainline	
108.421	16.08	1	unknown	unknown	
148.821	22.04	1	unknown	unknown	
207.341	22.52	1	KC & The Sunshine Band	Get Down Tonight	1975
230.861	92.0	1	Lynyrd Skynyrd	Free Bird	1973
339.701	29.04	0	OST	instrumental	
368.741	22.0	1	OST	instrumental	
393.301	10.24	0	OST	instrumental	
437.661	42.84	1	Randy Newman	Mr. President (Have Pity on the Working Man)	1974
493.101	16.08	1	crowd in church	Plant My Feet On Higher Ground	
606.901	12.64	1	unknown	unknown	
691.221	36.76	0	OST	instrumental	
757.941	66.04	1	crowd in church	I've Got A New Home	
833.061	18.6	0	OST	instrumental	
851.661	128.88	1	OST	instrumental	
