onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
14.82	0.5	Schlafsaal		setting_new		NN		
19.52	5.0	die				ART		
24.52	0.2	Männer		male		NN		
24.72	0.1	sind				VAFIN		
24.82	0.2	in				APPR		
25.02	0.5	Unterwäsche		body		NN		
25.52	18.1	jeder#setzt		#	#	#		
43.62	0.2	sei#n		#	#	#		
43.82	0.2	Gewehr		object		NN		
44.02	0.4	zusammen				PTKVZ		
79.52	15.9	Sie				PPER		
95.42	0.3	putzen				VVFIN		
95.72	0.4	Stiefel		object		NN		
96.32	10.5	Sie				PPER		
106.82	0.1	scheuern				VVFIN		
106.92	0.3	den				ART		
107.22	0.3	Boden		roomgeo		NN		
107.52	0.1	mit				APPR		
107.62	0.4	Zahnbürsten		object		NN		
108.02	11.4	es				PPER		
119.42	0.2	ist				VAFIN		
119.62	0.2	dunkel		++		ADJD		
119.82	0.4	Bubba		mname		NE		
120.22	0.2	liegt				VVFIN		
120.42	0.2	wach				ADJD		
120.62	0.0	im				APPRART		
120.62	0.2	Bett		furniture		NN		
120.82	10.8	Forrest		mname		NN		
131.62	0.4	liegt				VVFIN		
132.02	0.3	oben				ADV		
132.32	0.1	im				APPRART		
132.42	0.5	Etagenbett		furniture		NN		
132.92	0.4	sein				PPOSAT		
133.32	0.2	Nachbar		person		NN		
133.52	0.3	wirft				VVFIN		
133.82	0.2	ihm				PPER		
134.02	0.2	einem				ART		
134.22	0.2	Playboy		object		NN		
134.42	0.4	zu				PTKVZ		
139.52	1.3	Forrest#schaut		#	#	#		
140.82	0.3	in				APPR		
141.12	0.0	die				ART		
141.12	0.4	Zeitschrift		object		NN		
141.52	0.4	und				KON		
141.92	0.4	blättert				VVFIN		
142.32	0.2	um				PTKVZ		
142.52	2.2	auf				APPR		
144.72	0.3	einem				ART		
145.02	0.3	Bild		object		NN		
145.32	0.4	kniet				VVFIN		
145.72	0.5	Jenny		fname		NE		
146.22	0.4	nur				ADV		
146.62	0.1	in				APPR		
146.72	0.2	weit				ADJD		
146.92	0.4	aufgeknöpfter				ADJA		
147.72	0.6	College-Jacke		body		NN		
148.32	1.6	ungläubig				ADJD		
149.92	0.4	starrt				VVFIN		
150.32	0.5	Forrest		mname		NN		
150.82	0.2	auf				APPR		
151.02	0.1	das				ART		
151.12	0.3	Foto		object		NN		
151.42	10.0	Bab#y		#	#	#		
161.42	1.0	Er				PPER		
162.42	1.2	kommt				VVFIN		
163.62	0.1	in				APPR		
163.72	0.2	einem				ART		
163.92	0.2	Club		setting_new		NN		
164.12	10.0	zwischen				APPR		
174.12	0.5	Portraits		object		NN		
174.62	0.2	eines				ART		
174.82	0.4	von				APPR		
175.22	0.2	Jenny		fname		NN		
175.42	19.8	der				ART		
195.22	0.4	Vorhang		roomgeo		NN		
195.62	0.1	öffnet				VVFIN		
195.72	0.4	sich				PRF		
196.12	1.1	Jenny		fname		NE		
197.22	0.3	sitzt				VVFIN		
197.52	0.2	mit				APPR		
197.72	0.1	einer				ART		
197.82	0.4	großen				ADJA		
198.22	0.4	Gitarre		object		NN		
198.62	0.1	auf				APPR		
198.72	0.1	einem				ART		
198.82	0.3	Barhocker		furniture		NN		
199.42	2.9	das				ART		
202.32	0.3	Instrument		object		NN		
202.62	0.5	verdeckt				VVFIN		
203.12	0.3	Brust		body		NN		
203.42	0.2	und				KON		
203.62	0.2	Schoß		body		NN		
203.82	3.9	sie				PPER		
207.72	0.3	trägt				VVFIN		
208.02	0.2	nur				ADV		
208.22	0.2	einen				ART		
208.42	0.4	hautfarbenen				ADJA		
208.82	0.6	Slip		body		NN		
209.42	18.9	Männer		male		NN		
228.32	13.2	ein				ART		
241.52	0.2	Mann		male		NN		
241.72	0.4	will				VMFIN		
242.12	0.1	ihr				PPER		
242.22	0.3	einen				ART		
242.52	0.3	Geldschein		object		NN		
242.82	0.2	in				APPR		
243.02	0.2	den				ART		
243.22	0.2	Pumps		object		NN		
243.42	0.2	stecken				VVINF		
243.62	2.5	Sie				PPER		
246.12	0.2	tritt				VVFIN		
246.32	0.2	seine				PPOSAT		
246.52	0.2	Hand		bodypart		NN		
246.72	2.9	weg#er#schüttet		#	#	#		
249.62	0.2	sein				PPOSAT		
249.82	0.2	Bier		object		NN		
250.02	0.3	über				APPR		
250.32	0.2	ihre				PPOSAT		
250.52	0.3	Füße		bodypart		NN		
250.82	6.1	Forrest		mname		NN		
256.92	0.4	marschiert				VVFIN		
257.32	0.1	mit				APPR		
257.42	0.5	grimmiger				ADJA		
257.92	0.1	Miene		face		NN		
258.02	0.6	nach#vorn		#	#	#		
259.42	0.3	Er				PPER		
259.72	0.2	packt				VVFIN		
259.92	0.2	den				ART		
260.12	0.1	Mann		male		NN		
260.22	0.2	von				APPR		
260.42	0.1	hinten				ADV		
260.52	0.4	und				KON		
260.92	0.3	stößt				VVFIN		
261.22	0.1	ihn				PPER		
261.32	0.1	zu				APPR		
261.42	0.2	Boden				NN		
261.62	2.1	er				PPER		
263.72	0.3	schubst				ADV		
264.02	0.1	noch				ADV		
264.12	0.3	einen				PIS		
264.42	0.1	um				PTKVZ		
264.52	2.0	er				PPER		
266.52	0.2	steigt				VVFIN		
266.72	0.1	auf				APPR		
266.82	0.2	die				ART		
267.02	0.2	Bühne		roomgeo		NN		
267.22	1.9	und				KON		
269.12	0.2	hebt				VVFIN		
269.32	0.1	sie				PPER		
269.42	0.1	hoch				PTKVZ		
269.52	2.7	er				PPER		
272.22	0.2	tut				VVFIN		
272.42	0.1	es				PPER		
272.52	1.1	sie				PPER		
273.62	0.3	drückt				VVFIN		
273.92	0.1	ihm				PPER		
274.02	0.1	die				ART		
274.12	0.4	Gitarre		object		NN		
274.52	0.1	in				APPR		
274.62	0.0	die				ART		
274.62	0.3	Hand		bodypart		NN		
274.92	0.0	und				KON		
274.92	0.4	eilt				VVFIN		
275.32	0.1	von				APPR		
275.42	0.1	der				ART		
275.52	0.3	Bühne		roomgeo		NN		
275.82	0.6	Forrest		mname		NN		
276.42	0.3	hetzt				VVFIN		
276.72	0.1	ihr				PPER		
276.82	0.2	nach				PTKVZ		
277.02	0.9	später		++		ADJD		
277.92	0.1	auf				APPR		
278.02	0.2	einer				ART		
278.22	0.1	Brücke		setting_new;geo		NN		
278.32	20.3	Jenny		fname		NE		
298.62	0.4	schaut				VVFIN		
299.02	0.3	nachdenklich				ADJD		
299.32	0.5	aus				APPR		
299.82	0.3	Wasser		geo		NN		
301.12	0.7	Forrest		mname		NN		
301.82	0.1	betrachtet				VVFIN		
301.92	0.4	sie				PPER		
302.32	19.6	Sie				PPER		
321.92	0.4	steigt				VVFIN		
322.32	0.1	auf				APPR		
322.42	0.3	eine				ART		
322.72	0.4	niedrige				ADJA		
323.12	0.7	Querstrebe		object		NN		
323.82	0.1	des				ART		
323.92	0.4	Geländers		furniture		NN		
324.32	1.2	beunruhigt				ADJD		
325.52	0.1	sieht				VVFIN		
325.62	0.4	Forrest		mname		NN		
326.02	0.1	sie				PPER		
326.12	0.2	von				APPR		
326.32	0.3	unten				ADV		
326.62	0.1	nach				APPR		
326.72	0.1	oben				ADV		
326.82	0.4	an				PTKVZ		
327.22	0.3	und				KON		
327.52	0.3	kommt				VVFIN		
327.82	0.2	etwas				ADV		
328.02	0.2	näher				ADJD		
328.22	7.5	ein				ART		
335.72	0.5	Autoscheinwerfer		object		NN		
336.22	0.8	streift				VVFIN		
337.02	0.1	ihr				PPOSAT		
337.12	0.4	Gesicht		face		NN		
337.52	2.8	sie				PPER		
340.32	0.3	stellt				VVFIN		
340.62	0.0	sich				PRF		
340.62	0.1	auf				APPR		
340.72	0.2	die				ART		
340.92	0.4	Fahrbahn		geo		NN		
341.32	0.3	und				KON		
341.62	0.3	winkt				VVFIN		
341.92	12.5	sie				PPER		
354.42	0.3	bleibt				VVFIN		
354.72	0.3	stehen				VVINF		
355.02	0.1	und				KON		
355.12	0.2	sieht				VVFIN		
355.32	0.3	zu				APPR		
355.62	0.2	ihm				PPER		
356.32	24.1	Jenny		fname		NE		
380.42	0.2	geht				VVFIN		
380.62	0.2	zur				APPRART		
380.82	0.8	Beifahrerseite				NN		
384.22	1.7	Sie				PPER		
385.92	0.4	stoppt				VVFIN		
398.12	1.7	der				ART		
399.82	0.4	Schatten				NN		
400.22	0.1	eines				ART		
400.32	0.6	Hubschraubers		object		NN		
400.92	0.4	gleitet				VVFIN		
401.32	0.1	über				APPR		
401.42	0.6	Reisfelder		setting_new;geo		NN		
402.02	0.0	in				APPR		
402.02	0.5	der				ART		
402.52	0.3	offenen				ADJA		
402.82	0.1	Tür		roomgeo		NN		
402.92	0.3	sitzt				VVFIN		
403.22	0.1	ein				ART		
403.32	0.6	Bordschütze		male		NN		
403.92	0.2	am				APPRART		
404.12	0.0	Maschinengewehr		object		NN		
404.12	3.5	er				PPER		
407.62	0.1	schaut				VVFIN		
407.72	0.2	zu				APPR		
407.92	0.3	Forrest		mname		NN		
408.22	0.1	und				KON		
408.32	0.3	Bubba		fname		NE		
408.62	0.4	neben				APPR		
409.02	0.1	ihm				PPER		
409.12	0.3	die				ART		
409.42	0.4	beiden				PIAT		
409.82	0.3	weichen				VVFIN		
410.12	0.2	seinem				PPOSAT		
410.32	0.2	Blick		###		NN		
410.52	0.7	eingeschüchtert				VVPP		
411.22	0.1	aus				PTKVZ		
411.32	7.1	der				ART		
418.42	0.4	Hubschrauber		object		NN		
418.82	0.3	landet				VVFIN		
419.12	0.1	auf				APPR		
419.22	0.1	einem				ART		
419.32	0.7	Stützpunkt		setting_new;geo		NN		
420.02	0.3	neben				APPR		
420.32	0.2	einem				ART		
420.52	0.4	anderen				ADJA		
420.92	0.5	Helikopter		object		NN		
421.42	0.5	zwei				CARD		
421.92	0.5	Soldaten		male		NN		
422.42	0.6	erwarten				VVFIN		
423.02	0.1	ihn				PPER		
423.12	0.7	Bubba		mname		NE		
423.82	0.1	und				KON		
423.92	0.4	Forrest		mname		NN		
424.32	0.3	springen				VVFIN		
424.62	0.2	mit				APPR		
424.82	0.3	ihren				PPOSAT		
425.12	0.6	Gepäcksäcken		object		NN		
425.72	0.2	aus				PTKVZ		
425.92	20.8	an				APPR		
446.72	0.2	einem				ART		
446.92	0.2	Fluss		geo		NN		
447.12	0.5	grillen				ADJA		
447.62	0.5	Soldaten		male		NN		
448.12	0.2	zwischen				APPR		
448.32	0.4	Palmen		geo		NN		
448.72	0.3	und				KON		
449.02	0.3	trinken				VVFIN		
449.32	0.1	Bier		object		NN		
449.42	0.8	einige				PIAT		
450.22	0.2	spielen				ADJA		
450.42	0.4	Karten		object		NN		
450.82	0.4	im				APPRART		
451.22	0.6	Hintergrund				NN		
451.82	0.2	fliegt				VVFIN		
452.02	0.1	eine				ART		
452.12	0.6	Hubschrauberstaffel		object		NN		
452.72	0.3	den				ART		
453.02	0.2	Fluss		geo		NN		
453.22	0.4	entlang				PTKVZ		
453.62	0.8	Forrest		mname		NN		
454.42	0.1	und				KON		
454.52	0.0	Bubba		mname		NE		
454.52	0.5	gehen				VVFIN		
455.02	0.1	mit				APPR		
455.12	0.2	ihrem				PPOSAT		
455.32	0.1	Gepäck		object		NN		
455.42	0.4	darauf				PROAV		
455.82	0.2	zu				PTKVZ		
458.12	14.3	ein				ART		
472.42	0.3	Soldat		male		NN		
472.72	0.1	mit				APPR		
472.82	0.4	nacktem				ADJA		
