onset	duration	fg	artist	title	year
6.573	25.52	1	Buffalo Springfield	For What It‘s Worth	1966
127.773	92.28	0	OST	instrumental	
543.653	14.72	0	OST	instrumental	
575.613	22.68	0	Jackie DeShannon	What The World Needs Now Is Love	1965
599.253	14.28	0	The Doors	Hello I love you	1968
613.533	9.32	0	The Doors	People Are Strange	1967
622.853	16.84	0	The Doors	Break on Through (To the Other Side)	1967
676.181	53.76	1	Simon & Garfunkel	Mrs. Robinson	1968
743.701	32.24	1	Jefferson Airplane	Volunteers	1969
775.941	28.52	0	Jefferson Airplane	Volunteers	1969
804.461	7.6	1	Jefferson Airplane	Volunteers	1969
931.181	23.04	0	OST	instrumental	
954.221	11.84	1	OST	instrumental	
