onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
7.24	0.4	Patrouille				NN		
7.64	0.6	streift				VVFIN		
8.24	0.1	der				ART		
8.34	0.2	Trupp		males		NN		
8.54	1.6	durch				APPR		
10.14	0.1	den				ART		
10.24	0.1	Dschungel		setting_rec;geo		NN		
19.14	14.1	ein				ART		
33.24	0.4	Kamerad		male		NN		
33.64	0.2	wird				VAFIN		
33.84	0.3	getroffen				VVPP		
34.14	0.6	Forrest		mname		NN		
34.74	0.3	wirft				VVFIN		
35.04	0.1	sich				PRF		
35.14	0.1	hin				PTKVZ		
35.24	2.0	leuchtende				ADJA		
37.24	0.5	Munition		object		NN		
37.74	0.2	saust				ADJD		
37.94	0.2	durch				APPR		
38.14	0.1	die				ART		
38.24	0.3	Luft				NN		
38.54	4.2	überall				ADV		
42.74	0.6	spritzt#Erde#hoch		#	#	#		
43.34	0.9	Forrest#robbt		#	#	#		
44.24	0.5	hinter				APPR		
44.74	0.1	eine				ART		
44.84	0.4	Wegböschung		geo		NN		
45.24	5.6	Neben#Forrest		#	#	#		
50.84	0.4	liegt				VVFIN		
51.24	0.1	Dan		mname		NE		
51.34	0.2	und				KON		
51.54	0.2	hält				VVFIN		
51.74	0.1	den				ART		
51.84	0.2	Hörer		object		NN		
52.04	0.2	eines				ART		
52.24	0.5	Funktelefon		object		NN		
52.74	6.4	Forrest#schießt		#	#	#		
79.04	1.2	ein				ART		
80.24	0.4	Feuerball				NN		
80.64	0.3	fegt				VVFIN		
80.94	0.2	die				ART		
81.14	0.4	MG-Schützen		persons		NN		
81.54	0.4	weg				PTKVZ		
81.94	12.3	Forrest#schaut		#	#	#		
94.24	0.6	verstört				VVFIN		
94.84	0.2	zwischen				APPR		
95.04	0.3	Dan		mname		NE		
95.34	0.0	und				KON		
95.34	0.3	Bubba		mname		NE		
95.64	0.2	hin				ADV		
95.84	0.2	und				KON		
96.04	0.1	her				ADV		
96.14	2.9	Dan		mname		NE		
99.04	0.1	zerrt				VVFIN		
99.14	0.4	Forrest		mname		NN		
99.54	0.2	hoch				PTKVZ		
99.74	5.4	Forrest				NN		
105.14	0.2	rennt				VVFIN		
105.34	0.4	los				PTKVZ		
105.74	0.6	überall				ADV		
106.34	0.3	schlagen				VVFIN		
106.64	0.4	Granaten		object		NN		
107.04	0.2	ein				PTKVZ		
107.24	0.4	Erde		###		NN		
107.64	0.4	spritzt				VVFIN		
108.04	0.1	hoch				PTKVZ		
108.14	3.5	ein				ART		
111.64	0.4	Soldat		male		NN		
112.04	0.6	hinter#Forrest		#	#	#		
112.64	0.2	wird				VAFIN		
112.84	0.4	weggerissen				VVPP		
113.24	8.6	Forrest		mname		NN		
121.84	0.4	überholt				VVFIN		
122.24	0.3	Bubba		mname		NE		
122.54	0.3	ohne				APPR		
122.84	0.2	ihn				PPER		
123.04	0.0	zu				PTKZU		
123.04	0.3	bemerken				VVINF		
139.04	3.0	er				PPER		
142.04	0.1	bleibt				VVFIN		
142.14	0.5	stehen				VVINF		
142.64	0.4	schnellt				VVFIN		
143.04	0.3	herum				PTKVZ		
143.34	0.3	und				KON		
143.64	0.2	rennt				VVFIN		
143.84	0.2	zurück				PTKVZ		
144.04	5.7	Forrest		mname		NN		
149.74	0.4	läuft				VVFIN		
150.14	0.1	durch				APPR		
150.24	0.1	den				ART		
150.34	0.4	lichten				ADJA		
150.74	0.3	Dschungel		locale_recur		NN		
151.04	9.9	neben				APPR		
160.94	0.2	ihm				PPER		
161.14	0.4	hebt#sic#h		#	#	#		
