onset	duration	fg	artist	title	year
20.541	141.48	1	OST	instrumental	
319.341	26.48	1	OST	instrumental	
347.621	26.64	0	Hank Williams	Lovesick Blues	1949
385.741	46.12	1	OST	instrumental	
581.021	35.56	1	OST	instrumental	
623.021	4.0	0	Elvis Presley (performed by actor)	Hound Dog	1956
627.021	5.2	1	Elvis Presley (performed by actor)	Hound Dog	1956
652.741	24.52	1	Elvis Presley (performed by actor)	Hound Dog	1956
677.261	25.72	1	Elvis Presley (on TV)	Hound Dog	1956
758.141	134.8	1	OST	instrumental	
