onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
7.005	0.4	auf				APPR		
7.405	0.3	einen				ART		
7.705	0.3	Spielplatz		setting_new		NN		
8.005	0.3	in				APPR		
8.305	0.1	einem				ART		
8.405	0.4	Park		geo		NN		
8.805	0.5	schaukelt				VVFIN		
9.305	0.4	Forrest				NN		
9.705	0.3	Junior		mname		NN		
10.005	0.4	seine				PPOSAT		
10.405	0.4	Eltern		persons		NN		
10.805	0.2	sitzen				VVFIN		
11.005	0.1	auf				APPR		
11.105	0.2	einer				ART		
11.305	0.1	Bank		furniture		NN		
11.405	51.7	vor				APPR		
63.105	0.7	ForrestsHaus		setting_rec		NE		
63.805	0.6	elegant				ADJD		
64.405	0.5	gekleidete				ADJA		
64.905	0.0	Leute		persons		NN		
64.905	0.9	Luis		fname		NE		
65.805	0.2	im				APPRART		
66.005	0.4	gelben				ADJA		
66.405	0.1	Kleid		body		NN		
66.705	0.2	geht				VVFIN		
66.905	0.3	zu#For		#	#	#		
67.205	0.3	e#st		#	#	#		
67.505	0.2	der				ART		
67.705	0.6	nachdenklich				ADJD		
68.305	0.2	etwas				PIS		
68.505	0.3	abseits				ADV		
68.805	0.3	steht				VVFIN		
69.105	3.6	Jenny		fname		NE		
72.705	0.2	kommt				VVFIN		
72.905	0.1	aus				APPR		
73.005	0.1	dem				ART		
73.105	0.2	Haus		geo		NN		
73.305	0.2	auf				APPR		
73.505	0.2	die				ART		
73.705	0.7	blumen-geschmückte				ADJA		
74.405	0.4	Veranda		locale_recur		NN		
74.805	0.7	Forrest		mname		NN		
75.505	0.2	geht				VVFIN		
75.705	0.2	ihr				PPER		
75.905	0.4	entgegen				PTKVZ		
76.305	0.7	er				PPER		
77.005	0.2	trägt				VVFIN		
77.205	0.2	einen				ART		
77.405	0.3	hellgrauen				ADJA		
77.705	0.2	Anzug		body		NN		
77.905	0.5	mit				APPR		
78.405	0.2	einem				ART		
78.605	0.5	Sträußchen		object		NN		
79.105	0.1	im				APPRART		
79.205	0.3	Knopfloch		object		NN		
79.505	0.5	und				KON		
80.005	0.2	eine				ART		
80.205	0.3	dunkle				ADJA		
80.505	0.5	geblümte				ADJA		
81.005	0.4	Krawatte		object		NN		
81.405	0.9	Jenny		fname		NE		
82.305	0.3	steigt				VVFIN		
82.605	0.5	barfuß		###bodypart###		ADV		
83.105	0.2	die				ART		
83.305	0.4	Stufen		furniture		NN		
83.705	0.1	zu				APPR		
83.805	0.1	ihm				PPER		
83.905	0.3	herunter				PTKVZ		
84.205	0.8	sie				PPER		
85.005	0.3	trägt				VVFIN		
85.305	0.1	ein				ART		
85.405	0.7	cremefarbenes				ADJA		
86.105	0.5	schlichtes				ADJA		
86.605	0.3	Brautkleid		body		NN		
86.905	0.4	mit				APPR		
87.305	0.7	Puffärmeln		###body###		NN		
88.005	0.3	und				KON		
88.305	0.2	eine				ART		
88.505	0.6	Blumenkranz		object		NN		
89.105	0.1	im				APPRART		
89.205	0.1	Haar		head		NN		
89.305	4.3	Jenny		fname		NE		
93.605	0.4	richtet				VVFIN		
94.005	0.1	sie				PPER		
97.505	0.9	die				ART		
98.405	0.3	beiden				PIS		
98.705	0.2	blicken				VVFIN		
98.905	0.2	zur				APPRART		
99.105	0.4	Zufahrt		geo		NN		
99.505	0.9	aufrecht				ADJD		
100.405	0.3	gehend				ADJD		
100.705	0.2	auf				APPR		
100.905	0.2	einen				ART		
101.105	0.2	Stock		object		NN		
101.305	0.1	gestützt				VVPP		
101.405	0.7	kommt				VVFIN		
102.105	0.9	Dan		mname		NE		
103.005	0.5	über				APPR		
103.505	0.1	den				ART		
103.605	0.3	Rasen		geo		NN		
103.905	0.6	eine				ART		
104.505	0.5	Asiatin		female		NN		
105.005	0.5	begleitet#ihn		#	#	#		
105.505	2.8	zögernd				ADJD		
108.305	0.3	geht				VVFIN		
108.605	0.1	er				PPER		
108.705	0.1	auf				APPR		
108.805	0.1	das				ART		
108.905	0.3	Paar		###persons###		NN		
109.205	0.2	zu				PTKVZ		
109.405	1.0	Dan		mname		NE		
110.405	0.5	nähert				VVFIN		
110.905	0.1	sich				PRF		
111.005	0.1	langsam				ADJD		
111.105	0.5	mit				APPR		
111.605	0.4	steifen				ADJA		
112.005	0.3	Schritten				NN		
112.305	0.8	er		male		PPER		
113.105	0.1	hat				VAFIN		
113.205	0.2	kurz				ADJD		
113.405	0.6	geschnittenes				ADJA		
114.005	0.1	Haar		head		NN		
114.105	0.4	ist				VAFIN		
114.505	0.3	glatt				ADV		
114.805	0.5	rasiert		###face###		VVPP		
115.305	0.2	und				KON		
115.505	0.2	trägt				VVFIN		
115.705	0.2	einen				ART		
115.905	0.3	hellen				ADJA		
116.205	0.2	Anzug		body		NN		
116.405	1.0	seine				PPOSAT		
117.405	0.5	Begleiterin		female		NN		
117.905	0.2	ist				VAFIN		
118.105	0.3	fast				ADV		
118.405	0.0	einen				ART		
118.405	0.3	Kopf		head		NN		
118.705	0.2	kleiner				ADJD		
118.905	0.3	als				KOKOM		
119.205	0.2	er				PPER		
119.405	0.5	sie				PPER		
119.905	0.3	trägt				VVFIN		
120.205	0.1	ein				ART		
120.305	0.6	lilafarbenes				ADJA		
120.905	0.4	geblümtes				ADJA		
121.305	0.4	Kleid		body		NN		
121.705	11.0	er				PPER		
132.705	0.3	zeigt				VVFIN		
133.005	0.2	seine				PPOSAT		
133.205	0.5	Prothese		object		NN		
133.705	2.3	sie		female		PPER		
136.005	0.2	steckt				VVFIN		
136.205	0.1	im				APPRART		
136.305	0.2	Schuh		object		NN		
136.505	0.1	und				KON		
136.605	0.2	Socken		object		NN		
136.805	19.8	sie				PPER		
156.605	0.2	gibt				VVFIN		
156.805	0.2	ihm				PPER		
157.005	0.0	die				ART		
157.005	0.3	Hand		bodypart		NN		
157.505	8.0	sie				PPER		
165.505	0.3	reicht				VVFIN		
165.805	0.1	Dan		mname		NE		
165.905	0.2	die				ART		
166.105	0.3	Hand		bodypart		NN		
166.405	0.2	und				KON		
166.605	0.3	küsst				VVFIN		
166.905	0.0	ihn				PPER		
166.905	0.2	auf				APPR		
167.105	0.1	die				ART		
167.205	0.1	Wange		face		NN		
167.305	0.7	Dan		mname		NE		
168.005	0.3	sieht				VVFIN		
168.305	0.4	Forrest		mname		NN		
168.705	0.1	an				PTKVZ		
168.805	0.1	der				PDS		
168.905	0.9	schmunzelt			face	VVFIN		
169.805	0.3	stolz				ADJD		
170.105	3.2	im				APPRART		
173.305	0.4	Garten		setting_rec		NN		
173.705	16.7	trockenes				ADJA		
190.405	0.2	Laub		###object###		NN		
190.605	0.4	weht				VVFIN		
191.005	0.2	über				APPR		
191.205	0.1	die				ART		
191.305	0.1	von				APPR		
191.405	0.4	mächtigen				ADJA		
191.805	0.2	Bäumen		geo		NN		
192.005	0.7	gesäumte				ADJA		
192.705	0.3	Zufahrt		geo		NN		
193.005	2.0	zwischen				APPR		
195.005	0.1	den				ART		
195.105	0.1	Bäumen		geo		NN		
195.205	0.7	spazieren				VVFIN		
195.905	0.3	Jenny		fname		NN		
196.205	0.2	und				KON		
196.405	0.3	Forrest		fname		NN		
196.705	1.0	händchenhaltend				ADJD		
197.705	0.1	auf				APPR		
197.805	0.2	das				ART		
198.005	0.2	Haus		geo		NN		
198.205	0.2	zu				PTKVZ		
198.405	0.7	ihr				PPOSAT		
199.105	0.2	Sohn		male		NN		
199.305	0.3	hebt				VVFIN		
199.605	0.2	etwas				PIS		
199.805	0.2	auf				PTKVZ		
200.005	0.3	und				KON		
200.305	0.2	gibt				VVFIN		
200.505	0.1	es				PPER		
200.605	0.2	seinem				PPOSAT		
200.805	0.3	Vater		male		NN		
201.105	0.5	der				PDS		
201.605	0.3	nimmt				VVFIN		
201.905	0.1	ihn				PPER		
202.005	0.2	an				APPR		
202.205	0.1	die				ART		
202.305	0.2	Hand		bodypart		NN		
202.505	1.8	im				APPRART		
204.305	0.2	Haus		locale_recur		NN		
204.505	0.3	kommt				VVFIN		
204.805	0.5	Forrest		mname		NN		
205.305	0.1	mit				APPR		
205.405	0.2	einem				ART		
205.605	0.4	Frühstückstablet#t		#	#	#		
206.005	0.4	ins				APPRART		
206.405	0.6	ehemalige				ADJA		
207.005	0.6	Schlafzimmer		locale_recur		NN		
207.605	0.2	seiner				PPOSAT		
207.805	0.2	Mutter		female		NN		
208.005	2.0	abrupt#bleibt		#	#	#		
210.005	0.1	er				PPER		
210.105	0.1	stehen				VVFIN		
210.205	0.4	und				KON		
210.605	0.2	starrt				VVFIN		
210.805	0.2	auf				APPR		
211.005	0.4	Jenny		fname		NE		
211.405	0.7	di#e		#	#	#		
212.105	0.2	reglos				ADJD		
212.305	0.1	im				APPRART		
212.405	0.2	Bett		furniture		NN		
212.605	0.3	liegt				VVFIN		
212.905	0.5	ihr				PPOSAT		
213.405	0.2	Kopf		head		NN		
213.605	0.1	ruht				VVFIN		
213.705	0.3	auf				APPR		
214.005	0.4	mehreren				PIAT		
214.405	0.3	Kissen		object		NN		
214.705	1.5	sie				PPER		
216.205	0.3	öffnet				VVFIN		
216.505	0.1	die				ART		
216.605	0.0	Augen		face		NN		
217.505	8.0	er				PPER		
225.505	0.2	stellt				VVFIN		
225.705	0.1	das				ART		
225.805	0.3	Tablett		object		NN		
226.105	0.2	auf				APPR		
226.305	0.1	ein				ART		
226.405	0.4	Tischchen		furniture		NN		
226.805	0.4	neben				APPR		
227.205	0.1	dem				ART		
227.305	0.2	Bett		furniture		NN		
227.505	1.8	und				KON		
229.305	0.3	schiebt				VVFIN		
229.605	0.1	ein				ART		
229.705	0.4	Fenster		roomgeo		NN		
230.105	0.2	hoch				PTKVZ		
230.305	4.2	er				PPER		
234.505	0.2	setzt				VVFIN		
234.705	0.1	sich				PRF		
234.805	0.2	auf				APPR		
235.005	0.2	einen				ART		
235.205	0.2	Stuhl		furniture		NN		
235.405	0.7	Jenny		fname		NE		
236.105	0.2	dreht				VVFIN		
236.305	0.2	sich				PRF		
236.505	0.2	zu				APPR		
236.705	0.2	ihm				PPER		
236.905	0.3	und				KON		
237.205	0.3	stützt				VVFIN		
237.505	0.0	den				ART		
237.505	0.3	Kopf		head		NN		
237.805	0.1	in				APPR		
237.905	0.1	die				ART		
238.005	0.1	Hand		bodypart		NN		
238.105	9.9	Forrest		mname		NN		
248.005	0.2	nachts		time		ADV		
248.205	0.1	in				APPR		
248.305	0.4	Vietnam		setting_rec		NE		
248.705	5.7	er				PPER		
254.405	0.2	nimmt				VVFIN		
254.605	0.1	den				ART		
254.705	0.5	Stahlhelm		head		NE		
255.205	0.1	ab				PTKVZ		
255.305	0.2	und				KON		
255.505	0.2	sieht				VVFIN		
255.705	0.1	zu				APPR		
255.805	0.3	einem				ART		
256.105	0.4	Wolkenloch		###geo###		NN		
256.505	0.2	am				APPRART		
256.705	0.2	Himmel		###geo###		NN		
