onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
247.2	0.2	an				PTKVZ		
247.4	0.6	der				PDS		
248.0	0.2	geht				VVFIN		
248.2	0.2	ein				ART		
248.4	0.1	paar				PIAT		
248.5	0.1	Schritte				NN		
248.6	0.5	rückwärts				ADV		
249.1	0.3	und				KON		
249.4	0.2	wendet				VVFIN		
249.6	0.1	sich				PRF		
249.7	0.5	kurz#ab		#	#	#		
262.8	1.1	Forrest		mname		NN		
263.9	0.4	öffnet				VVFIN		
264.3	0.2	das				ART		
264.5	0.2	blaue				ADJA		
264.7	0.3	Band		object		NN		
265.0	0.3	seiner				PPOSAT		
265.3	0.2	goldenen				ADJA		
265.5	0.9	Tapferkeitsmedaille		object		NN		
266.4	0.6	mit				APPR		
267.0	0.7	fünfzackigen				ADJA		
267.7	0.3	Stern		object		NN		
268.0	4.5	er				PPER		
272.5	0.3	legt				VVFIN		
272.8	0.1	sie				PPER		
272.9	0.1	in				APPR		
273.0	0.4	ihre				PPOSAT		
273.4	0.3	Hand		bodypart		NN		
275.7	19.6	sie				PPER		
295.3	0.2	umarmt				ADJD		
295.5	0.4	ihn				PPER		
300.5	0.6	Jenny		fname		NE		
301.1	0.2	geht				VVFIN		
301.3	0.1	mit				APPR		
301.4	0.4	Wesley		mname		NE		
301.8	0.3	zur				APPRART		
302.1	0.4	Bustür		object		NN		
302.5	5.0	beim				APPRART		
307.5	0.5	Einsteigen				NN		
308.0	0.6	lächelt				VVFIN		
308.6	0.1	sie				PPER		
308.7	0.5	Forrest		mname		NN		
309.2	0.6	er				PPER		
309.8	0.5	lächelt				VVFIN		
310.3	0.1	zurück				PTKVZ		
310.4	1.0	Wesley		mname		NE		
311.4	0.2	sieht				VVFIN		
311.6	0.2	noch				ADV		
311.8	0.0	mal				ADV		
311.8	0.4	ernst				ADJD		
312.2	0.2	zu				PTKVZ		
312.4	1.1	Forrest		mname		NN		
313.5	0.4	kneift				VVFIN		
313.9	0.3	finster				ADJD		
314.2	0.1	die				ART		
314.3	0.3	Augen		face		NN		
314.6	0.4	zusammen				PTKVZ		
315.0	8.3	Jenny		fname		NN		
323.3	0.4	klopft				VVFIN		
323.7	0.0	gegen				APPR		
323.7	0.2	die				ART		
323.9	0.5	Heckscheibe		roomgeo		NN		
324.4	0.2	und				KON		
324.6	0.3	winkt				VVFIN		
324.9	0.3	Forrest		mname		NN		
325.2	0.2	zu				PTKVZ		
329.2	0.4	sie				PPER		
329.6	0.2	macht				VVFIN		
329.8	0.1	das				ART		
329.9	0.4	v-förmige				NN		
330.3	0.7	Peace-Zeichen				NN		
331.0	0.5	er				PPER		
331.5	0.6	erwidert				VVFIN		
332.1	0.2	es				PPER		
332.3	6.4	die				ART		
338.7	0.4	Mondlandung				NN		
339.1	0.4	im				APPRART		
339.5	0.6	Fernsehen		setting_new		NN		
340.1	2.4	das				ART		
342.5	0.3	Gerät		object		NN		
342.8	0.2	steht				VVFIN		
343.0	0.1	in				APPR		
343.1	0.2	einem				ART		
343.3	0.9	Klinikaufenthaltsraum		setting_new		NN		
344.2	2.7	die				ART		
346.9	0.3	Stühle		furniture		NN		
347.2	0.3	davor				PROAV		
347.5	0.1	sind				VAFIN		
347.6	0.2	leer				ADJD		
347.8	0.6	Personal		###persons###		NN		
348.4	0.2	und				KON		
348.6	0.4	Patienten		persons		NN		
349.0	0.3	gucken				VVFIN		
349.3	0.4	Forrest		mname		NN		
349.7	0.1	zu				APPR		
349.8	0.2	der				ART		
350.0	0.2	allein				ADV		
350.2	0.3	mit				APPR		
350.5	0.1	zwei				CARD		
350.6	0.4	Schlägern		object		NN		
351.0	0.1	und				KON		
351.1	0.2	drei				CARD		
351.3	0.4	Bällen		object		NN		
351.7	0.3	PingPong				NE		
352.0	0.2	spielt				VVFIN		
389.2	3.9	der				ART		
393.1	0.4	Talkmaster		male		NN		
393.5	0.5	Dick				NE		
394.0	0.3	Cavett		mname		NE		
394.3	0.2	steht				VVFIN		
394.5	0.2	auf		setting_new		PTKVZ		
394.7	0.6	Forrest		mname		NN		
395.3	0.3	kommt				VVFIN		
395.6	0.2	in				APPR		
395.8	0.1	einem				ART		
395.9	0.5	dunkelblauen				ADJA		
396.4	0.6	Zweireiher		body		NN		
397.0	0.2	mit				APPR		
397.2	1.3	Nationalmannschaftemblem		object		NN		
398.5	0.1	zu				APPR		
398.6	0.2	ihm				PPER		
398.8	12.7	John				NE		
411.5	0.3	Lennon		mname		NE		
411.8	0.4	raucht				VVFIN		
412.2	8.5	Forrest				NN		
420.7	0.4	guckt		mname		VVFIN		
421.1	0.2	John				NE		
421.3	0.2	Lennon		mname		NE		
421.5	0.4	irritiert				ADJD		
421.9	0.2	an				PTKVZ		
422.1	26.0	Forrest		mname		NN		
448.1	0.5	verlässt				VVFIN		
448.6	0.2	das				ART		
448.8	0.1	Gebäude		setting_new;geo		NN		
449.1	0.5	hinter				APPR		
449.6	0.2	ihm				PPER		
449.8	7.7	er				PPER		
457.5	0.4	sitzt				VVFIN		
457.9	0.1	im				APPRART		
458.0	0.2	Rollstuhl		furniture		NN		
458.2	0.3	und				KON		
458.5	0.2	hat				VAFIN		
458.7	0.2	lange				ADJA		
458.9	0.2	Haare		head		NN		
459.1	30.9	er				PPER		
490.0	0.2	rollt				VVFIN		
490.2	0.2	eine				ART		
490.4	0.3	Rampe		roomgeo		NN		
490.7	0.0	runter				PTKVZ		
490.7	5.6	auf				APPR		
496.3	0.2	der				ART		
496.5	0.3	vereisten				ADJA		
496.8	0.5	Schräge		roomgeo		NN		
497.3	0.2	kommt				VVFIN		
497.5	0.1	er				PPER		
497.6	0.2	ins				APPRART		
497.8	0.3	Schlittern				NN		
498.1	3.3	der				ART		
501.4	0.4	Rollstuhl		furniture		NN		
