start,end
305.0,312.0
318.0,343.0
434.0,438.0
544.0,556.0
630.0,670.0
742.0,748.0
1270.0,1284.0
1450.0,1453.0
1534.0,1545.0
1569.0,1580.0
1708.0,1711.0
1719.0,1730.0
1736.0,1740.0
1740.0,1745.0
1745.0,1749.0
1768.0,1784.0
1846.0,1857.0
1857.0,1872.0
2194.0,2208.0
2241.0,2250.0
2309.0,2311.0
2311.0,2313.0
2311.0,2313.0
2313.0,2315.0
2336.0,2360.0
2383.0,2387.0
2409.0,2414.0
2472.0,2489.0
2499.0,2505.0
2515.0,2517.0
3082.0,3089.0
3220.0,3226.0
3227.0,3233.0
3324.0,3329.0
3329.0,3335.0
3361.0,3367.0
3387.0,3388.0
3470.0,3479.0
3886.0,3890.0
3912.0,3926.0
3960.0,3963.0
4082.0,4087.0
4100.0,4101.0
4167.0,4193.0
4386.0,4391.0
4427.0,4431.0
4602.0,4603.0
4609.0,4614.0
4659.0,4666.0
4871.0,4880.0
4871.0,4873.0
4903.0,4917.0
4933.0,4942.0
4978.0,4983.0
5087.0,5090.0
5237.0,5238.0
5247.0,5253.0
5287.0,5290.0
5292.0,5299.0
5996.0,6015.0
6018.0,6046.0
6243.0,6246.0
