start,end
309.0,312.0
318.0,343.0
381.0,386.0
534.0,541.0
676.0,687.0
726.0,744.0
773.0,779.0
833.0,838.0
856.0,858.0
863.0,865.0
970.0,978.0
996.0,1001.0
1019.0,1027.0
1205.0,1210.0
1227.0,1227.0
1282.0,1285.0
1538.0,1539.0
1556.0,1563.0
1638.0,1643.0
1658.0,1660.0
1672.0,1676.0
1740.0,1745.0
1745.0,1751.0
1758.0,1759.0
1768.0,1778.0
1815.0,1818.0
1820.0,1828.0
1841.0,1845.0
1846.0,1857.0
1857.0,1872.0
1976.0,1981.0
2195.0,2200.0
2258.0,2260.0
2279.0,2280.0
2309.0,2311.0
2313.0,2315.0
2341.0,2355.0
2358.0,2360.0
2373.0,2375.0
2385.0,2388.0
2436.0,2439.0
2451.0,2455.0
2473.0,2487.0
2493.0,2499.0
2499.0,2505.0
2505.0,2509.0
2509.0,2512.0
2512.0,2517.0
2637.0,2642.0
3083.0,3089.0
3096.0,3104.0
3115.0,3118.0
3210.0,3213.0
3221.0,3223.0
3243.0,3245.0
3264.0,3266.0
3298.0,3303.0
3318.0,3320.0
3327.0,3328.0
3332.0,3335.0
3515.0,3518.0
3950.0,3957.0
3958.0,3958.0
3962.0,3963.0
4028.0,4031.0
4070.0,4079.0
4085.0,4088.0
4137.0,4140.0
4208.0,4213.0
4374.0,4374.0
4386.0,4391.0
4417.0,4425.0
4476.0,4484.0
4541.0,4544.0
4562.0,4563.0
4616.0,4620.0
4663.0,4666.0
4668.0,4670.0
4905.0,4917.0
4978.0,4983.0
5238.0,5242.0
5247.0,5251.0
5253.0,5257.0
5289.0,5290.0
5503.0,5507.0
5795.0,5800.0
5828.0,5835.0
5928.0,5931.0
6013.0,6015.0
6025.0,6027.0
6038.0,6046.0
6066.0,6073.0
6100.0,6107.0
