start,end
310.0,312.0
318.0,343.0
517.0,555.0
629.0,670.0
676.0,686.0
728.0,744.0
862.0,865.0
995.0,1001.0
1219.0,1241.0
1246.0,1285.0
1432.0,1525.0
1580.0,1599.0
1726.0,1730.0
1766.0,1796.0
1817.0,1823.0
1839.0,1845.0
1846.0,1857.0
1857.0,1872.0
2188.0,2209.0
2356.0,2360.0
2383.0,2388.0
2403.0,2415.0
2478.0,2488.0
2488.0,2499.0
3226.0,3249.0
3314.0,3324.0
3324.0,3329.0
3486.0,3528.0
3927.0,3938.0
3942.0,3958.0
3961.0,3963.0
4385.0,4391.0
4417.0,4431.0
4463.0,4488.0
4517.0,4544.0
4661.0,4666.0
4844.0,4851.0
4874.0,4877.0
4904.0,4917.0
4954.0,4963.0
4978.0,4982.0
5030.0,5064.0
5074.0,5090.0
5249.0,5253.0
5272.0,5279.0
5286.0,5290.0
5293.0,5299.0
5298.0,5307.0
5489.0,5508.0
5922.0,5939.0
5997.0,6015.0
6064.0,6127.0
