onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
111.400	0.300	sinkt				VVFIN		
111.700	0.300	bis				APPR		
112.000	0.200	dicht				ADJD		
112.200	0.300	über				APPR		
112.500	0.100	den				ART		
112.600	0.200	Asphalt				NN		
112.800	0.700	und				KON		
113.500	0.200	fliegt				VVFIN		
113.700	0.300	unter				APPR		
114.000	0.100	einem				ART		
114.100	0.300	Wagen		object		NN		
114.400	0.500	hindurch				PROAV		
114.900	0.200	der				ART		
115.100	0.000	an				APPR		
115.100	0.200	einer				ART		
115.300	0.300	Bushaltestelle		geo		NN		
115.600	0.700	vorbei				ADV		
116.300	0.400	fährt				VVFIN		
117.200	0.400	die				ART		
117.600	0.200	Feder		object		NN		
117.800	0.200	wird				VAFIN		
118.000	0.200	wieder				ADV		
118.200	0.700	hochgewirbelt				VVPP		
118.900	0.100	und				KON		
119.000	0.700	trudelt				VVFIN		
119.700	0.100	zu				APPR		
119.800	0.300	einem				ART		
120.100	0.200	Mann		male		NN		
120.300	0.200	auf				APPR		
120.500	0.200	einer				ART		
120.700	0.500	Wartebank		furniture		NN		
121.200	1.300	Sie#landet		#	#	#		
122.500	0.200	an				APPR		
122.700	0.300	einem				PIS		
123.000	0.200	seiner				PPOSAT		
123.200	0.700	abgewetzten				ADJA		
123.900	0.900	Nike-Laufschuhe		object		NN		
124.800	1.500	der				ART		
126.300	0.200	Mann		male		NN		
126.500	0.200	hebt				VVFIN		
126.700	0.200	sie				PPER		
126.900	0.000	auf				PTKVZ		
126.900	0.700	und				KON		
127.600	0.300	betrachtet#e		#	#	#		
127.900	0.300	er				PPER		
128.200	1.300	ist				VAFIN		
129.500	0.200	etwa				ADV		
129.700	0.500	vierzig				CARD		
130.200	0.600	schlank			###	ADJD		
130.800	0.200	und				KON		
131.000	0.300	braun				ADJD		
131.300	0.400	gebrannt				VVPP		
131.700	0.100	und				KON		
131.800	0.600	hat				VAFIN		
132.400	0.300	kleine				ADJA		
132.700	0.400	dunkle				ADJA		
133.100	0.300	Augen		face		NN		
133.400	0.900	sein				PPOSAT		
134.300	0.300	kurzes				ADJA		
134.600	0.400	dunkles				ADJA		
135.000	0.300	Haar		head		NN		
135.300	0.200	mit				APPR		
135.500	0.400	Geheimratsecken		head		NN		
135.900	0.600	ist				VAFIN		
136.500	0.200	über				APPR		
136.700	0.100	den				ART		
136.800	0.300	Ohren		head		NN		
137.100	0.700	ausrasiert				VVPP		
137.800	0.700	er				PPER		
138.500	0.300	trägt				VVFIN		
138.800	0.200	einen				ART		
139.000	0.100	hellen				ADJA		
139.100	0.500	Anzug		object		NN		
139.600	0.300	und				KON		
139.900	0.100	ein				ART		
140.000	0.200	blau				ADJD		
140.200	0.600	kariertes				ADJA		
140.800	0.300	Hemd		object		NN		
141.100	0.800	der				ART		
141.900	0.200	Mann		male		NN		
142.100	0.400	nimmt				VVFIN		
142.500	0.200	eine				ART		
142.700	0.400	Pralinenschachtel		object		NN		
143.100	0.600	von				APPR		
143.700	0.200	einem				ART		
143.900	0.500	kleinen				ADJA		
144.400	0.300	Koffer		object		NN		
144.700	0.300	und				KON		
145.000	0.500	öffnet#ihn		#	#	#		
145.500	1.800	zwischen				APPR		
147.300	0.200	den				ART		
147.500	0.400	akkurat				ADJD		
147.900	0.500	gepackten				ADJA		
148.400	0.000	Sachen			###	NN		
148.400	0.500	liegen				VVFIN		
148.900	0.200	auch				ADV		
149.100	0.200	ein				ART		
149.300	0.300	rotes				ADJA		
149.600	0.300	Cappy		object		NN		
149.900	0.100	und				KON		
150.000	0.400	ein				ART		
150.400	0.600	Tischtennisschläger		object		NN		
151.000	1.000	aus				APPR		
152.000	0.200	dem				ART		
152.200	0.500	Kofferdeckel		object		NN		
152.700	0.500	zieht				VVFIN		
153.200	0.100	der				ART		
153.300	0.200	Mann		male		NN		
153.500	0.200	das				ART		
153.700	0.500	Kinderbuch		object		NN		
154.200	0.700	Curious				NE		
154.900	0.200	George			mname	NE		
156.700	0.700	electiv#e		#	#	#		
157.400	0.200	wieder				ADV		
157.600	0.400	hinein				ADV		
158.000	0.500	schließt				VVFIN		
158.500	0.200	den				ART		
158.700	0.300	Koffer		object		NN		
159.000	0.000	und				KON		
159.000	0.300	stellt				VVFIN		
159.300	0.300	ihn				PPER		
159.600	0.100	neben				APPR		
159.700	0.300	sich				PRF		
160.000	2.100	der				ART		
162.100	0.100	Mann		male		NN		
162.200	0.300	schaut				VVFIN		
162.500	0.200	mit				APPR		
162.700	0.400	ernstem				ADJA		
163.100	0.100	Gesicht		face		NN		
163.200	0.600	ins				APPRART		
163.800	0.400	Leere				NN		
165.800	0.300	ein				ART		
166.100	0.600	Linienbus		object		NN		
166.700	0.100	hält				VVFIN		
171.200	0.600	darauf				PROAV		
171.800	0.200	eine				ART		
172.000	0.300	Werbung				NN		
172.300	0.200	für				APPR		
172.500	0.200	ein				ART		
172.700	0.300	neues				ADJA		
173.000	0.400	Automodell		object		NN		
173.400	0.400	von				APPR		
173.800	1.100	1981			time	CARD		
178.400	0.400	der				ART		
178.800	0.100	Mann		male		NN		
178.900	0.500	öffnet				VVFIN		
179.400	0.200	die				ART		
179.600	0.500	Pralinenschachtel		object		NN		
180.100	0.900	eine				ART		
181.000	0.300	schwarze				ADJA		
181.300	0.200	Frau		female		NN		
181.500	0.300	in				APPR		
181.800	0.800	Schwesterntracht		body		NN		
182.600	0.400	setzt				VVFIN		
183.000	0.200	sich				PRF		
183.200	0.200	zu				APPR		
183.400	0.200	ihm				PPER		
183.600	0.100	auf				APPR		
183.700	0.200	die				ART		
183.900	0.200	Bank		furniture		NN		
184.100	0.800	schnell				ADJD		
184.900	0.400	macht				VVFIN		
185.300	0.100	der				ART		
185.400	0.100	Mann		male		NN		
185.500	0.200	die				ART		
185.700	0.300	Schachtel		object		NN		
186.000	0.200	wieder				ADV		
186.200	0.100	zu				PTKVZ		
186.300	0.800	die				ART		
187.100	0.800	Krankenschwester		female		NN		
187.900	0.300	blickt				VVFIN		
188.200	0.100	in				APPR		
188.300	0.200	eine				ART		
188.500	0.300	Zeitschrift		object		NN		
188.800	5.700	die				ART		
194.500	0.100	Schwester		female		NN		
194.600	0.500	sieht				VVFIN		
195.100	0.200	kurz				ADJD		
195.300	0.200	hoch				ADJD		
195.500	0.400	nickt				VVFIN		
195.900	0.300	und				KON		
196.200	0.200	liest				VVFIN		
196.400	0.200	weiter				PTKVZ		
196.600	0.900	Forrest		mname		NN		
197.500	0.300	hält				VVFIN		
197.800	0.100	ihr				PPER		
197.900	0.100	die				ART		
198.000	0.500	geöffnete				ADJA		
198.500	0.800	Pralinenschachtel		object		NN		
199.300	0.100	hin				PTKVZ		
199.400	14.900	er				PPER		
214.300	0.300	steckt				VVFIN		
214.600	0.100	sich				PRF		
214.700	0.200	eine				ART		
214.900	0.100	in				APPR		
215.000	0.200	den				ART		
215.200	0.200	Mund		face		NN		
215.400	2.700	die				ART		
218.100	0.400	Schwester		female		NN		
218.500	0.200	reagiert				VVFIN		
218.700	0.500	nicht				PTKNEG		
220.900	0.500	Forrest		mname		NN		
221.400	0.500	zeigt				VVFIN		
221.900	0.100	auf				APPR		
222.000	0.200	ihre				PPOSAT		
222.200	0.400	strahlend				ADJD		
222.600	0.300	weißen				ADJA		
222.900	0.400	Halbschuhe		object		NN		
251.500	0.800	interessiert				ADJD		
252.300	0.100	sieht				VVFIN		
252.400	0.100	die				ART		
252.500	0.200	Schwester		female		NN		
252.700	0.400	von				APPR		
253.100	0.200	ihrem				PPOSAT		
253.300	0.500	People-Magazine		object		NN		
253.800	0.500	zu				APPR		
254.300	0.200	ihm				PPER		
255.400	11.200	er				PPER		
266.600	0.200	kneift				VVFIN		
266.800	0.300	die				ART		
267.100	0.000	Augen		face		NN		
267.100	0.600	fest				ADJD		
267.700	0.300	zu				PTKVZ		
268.000	8.200	ein				ART		
276.200	0.200	Arzt		setting_new;male		NN		
276.400	2.100	der				ART		
278.500	0.100	etwa				ADV		
278.600	0.600	10-jährige		male		NN		
279.200	0.300	sitzt				VVFIN		
279.500	0.100	auf				APPR		
279.600	0.200	einer				ART		
279.800	0.200	Liege		furniture		NN		
280.000	0.100	und				KON		
280.100	0.400	starrt				VVFIN		
280.500	0.100	auf				APPR		
280.600	0.300	seine				PPOSAT		
280.900	0.000	Beine		bodypart		NN		
280.900	0.500	an				APPR		
281.400	0.200	die				ART		
281.600	0.600	Metallschienen		object		NN		
