onset	duration	major_location	setting	locale	int_or_ext	flow_of_time	time_of_day
6813.600	25.480	Greenbow Alabama	tree on a field	Jenny's Grave	ext	++	day
6839.080	4.880	Greenbow Alabama	tree on a field	Jenny's Grave	ext	0	day
6843.960	11.520	Greenbow Alabama	tree on a field	Jenny's Grave	ext	0	day
6855.480	63.760	Greenbow Alabama	tree on a field	Jenny's Grave	ext	0	day
6919.240	25.600	Greenbow Alabama	tree on a field	Jenny's Grave	ext	0	day
6944.840	7.320	Gump property	access-road	at the mail boxes	ext	++	day
6952.160	9.400	Gump property	access-road	at the mail boxes	ext	0	day
6961.560	4.120	Gump property	access-road	at the mail boxes	ext	0	day
6965.680	2.640	Gump property	access-road	at the mail boxes	ext	0	day
6968.320	6.360	Gump property	access-road	at the mail boxes	ext	0	day
6974.680	3.080	Gump property	access-road	at the mail boxes	ext	0	day
6977.760	1.560	Gump property	access-road	at the mail boxes	ext	0	day
6979.320	1.520	Gump property	access-road	at the mail boxes	ext	0	day
6980.840	5.080	Gump property	access-road	at the mail boxes	ext	0	day
6985.920	1.960	Gump property	access-road	at the mail boxes	ext	0	day
6987.880	3.840	Gump property	access-road	at the mail boxes	ext	0	day
6991.720	1.400	Gump property	access-road	at the mail boxes	ext	0	day
6993.120	11.200	Gump property	access-road	at the mail boxes	ext	0	day
7004.320	1.560	Gump property	access-road	at the mail boxes	ext	0	day
7005.880	2.120	Gump property	access-road	at the mail boxes	ext	0	day
7008.000	5.000	Gump property	access-road	at the mail boxes	ext	0	day
7013.000	9.000	Gump property	access-road	at the mail boxes	ext	0	day
7022.000	60.200	Gump property	access-road	at the mail boxes	ext	0	day
